prec_id,Dorothea E. White,Norman Sanderson,election
carteret_NRIV,85,47,nc_state_senate_district_02
carteret_ATSL,69,164,nc_state_senate_district_02
carteret_BOGU,97,467,nc_state_senate_district_02
carteret_IBSP,47,106,nc_state_senate_district_02
carteret_DASW,48,136,nc_state_senate_district_02
carteret_NPT2,89,444,nc_state_senate_district_02
carteret_MASM,68,175,nc_state_senate_district_02
carteret_BFT2,167,298,nc_state_senate_district_02
carteret_PKNL,131,325,nc_state_senate_district_02
carteret_HAIS,48,268,nc_state_senate_district_02
carteret_OS-BOE,2259,3983,nc_state_senate_district_02
carteret_EMIS,147,547,nc_state_senate_district_02
carteret_CISL,25,60,nc_state_senate_district_02
carteret_ABSENTEE,393,804,nc_state_senate_district_02
carteret_MHD3,164,508,nc_state_senate_district_02
carteret_MHD4,111,387,nc_state_senate_district_02
carteret_NPT1,164,523,nc_state_senate_district_02
carteret_WILD,142,412,nc_state_senate_district_02
carteret_PELE,41,210,nc_state_senate_district_02
carteret_OS-CEN,1499,5039,nc_state_senate_district_02
carteret_MHD1,130,290,nc_state_senate_district_02
carteret_MCRK,25,191,nc_state_senate_district_02
carteret_MHD2,138,327,nc_state_senate_district_02
carteret_BFT1,152,95,nc_state_senate_district_02
carteret_OTBE,77,364,nc_state_senate_district_02
carteret_MERR,52,121,nc_state_senate_district_02
carteret_ABCH,79,326,nc_state_senate_district_02
carteret_BCRK,92,427,nc_state_senate_district_02
carteret_CCCP,76,359,nc_state_senate_district_02
carteret_WIHA,69,247,nc_state_senate_district_02
carteret_STEL,74,332,nc_state_senate_district_02
carteret_OS-EAS,101,431,nc_state_senate_district_02
carteret_OS-MHD,1710,3138,nc_state_senate_district_02
carteret_OS-WES,1246,4329,nc_state_senate_district_02
craven_14,906,1330,nc_state_senate_district_02
craven_19,967,1044,nc_state_senate_district_02
craven_2,1865,3310,nc_state_senate_district_02
craven_8,279,396,nc_state_senate_district_02
craven_5,575,1304,nc_state_senate_district_02
craven_16,729,1895,nc_state_senate_district_02
craven_20,676,1542,nc_state_senate_district_02
craven_15,205,362,nc_state_senate_district_02
craven_17,311,1194,nc_state_senate_district_02
craven_12,38,320,nc_state_senate_district_02
craven_N1,894,611,nc_state_senate_district_02
craven_N2,1102,355,nc_state_senate_district_02
craven_4,343,449,nc_state_senate_district_02
craven_7,706,985,nc_state_senate_district_02
craven_N6,1251,1805,nc_state_senate_district_02
craven_N5,849,366,nc_state_senate_district_02
craven_13,106,389,nc_state_senate_district_02
craven_6,493,415,nc_state_senate_district_02
craven_3,651,2062,nc_state_senate_district_02
craven_21,489,1432,nc_state_senate_district_02
craven_9,176,169,nc_state_senate_district_02
craven_11,382,1405,nc_state_senate_district_02
craven_10,199,407,nc_state_senate_district_02
craven_N3,608,695,nc_state_senate_district_02
craven_N4,1364,1090,nc_state_senate_district_02
craven_23,1101,2325,nc_state_senate_district_02
pamlico_4HB,8,127,nc_state_senate_district_02
pamlico_5AP,440,1001,nc_state_senate_district_02
pamlico_ABSENTEE,115,116,nc_state_senate_district_02
pamlico_4MSIC,70,57,nc_state_senate_district_02
pamlico_4VM A,67,64,nc_state_senate_district_02
pamlico_1AL A,101,220,nc_state_senate_district_02
pamlico_1RB,207,732,nc_state_senate_district_02
pamlico_2OT,582,814,nc_state_senate_district_02
pamlico_1GB,122,493,nc_state_senate_district_02
pamlico_2SW,107,201,nc_state_senate_district_02
pamlico_CURBSIDE,72,67,nc_state_senate_district_02
pamlico_3BY,482,414,nc_state_senate_district_02
