prec_id,Shelly Willingham,election
edgecombe_1401,136,nc_house_of_representatives_district_023
edgecombe_501,120,nc_house_of_representatives_district_023
edgecombe_401,146,nc_house_of_representatives_district_023
edgecombe_801,197,nc_house_of_representatives_district_023
edgecombe_701,422,nc_house_of_representatives_district_023
edgecombe_102,498,nc_house_of_representatives_district_023
edgecombe_103,422,nc_house_of_representatives_district_023
edgecombe_201,266,nc_house_of_representatives_district_023
edgecombe_1203,459,nc_house_of_representatives_district_023
edgecombe_1205,223,nc_house_of_representatives_district_023
edgecombe_901,211,nc_house_of_representatives_district_023
edgecombe_1202,310,nc_house_of_representatives_district_023
edgecombe_101,517,nc_house_of_representatives_district_023
edgecombe_1301,191,nc_house_of_representatives_district_023
edgecombe_601,314,nc_house_of_representatives_district_023
edgecombe_ONESTOP,6432,nc_house_of_representatives_district_023
edgecombe_1204,408,nc_house_of_representatives_district_023
edgecombe_1201,754,nc_house_of_representatives_district_023
edgecombe_1101,178,nc_house_of_representatives_district_023
edgecombe_104,367,nc_house_of_representatives_district_023
edgecombe_1001,288,nc_house_of_representatives_district_023
edgecombe_301,93,nc_house_of_representatives_district_023
martin_GN,262,nc_house_of_representatives_district_023
martin_R2,408,nc_house_of_representatives_district_023
martin_HM,243,nc_house_of_representatives_district_023
martin_ONESTOP,1823,nc_house_of_representatives_district_023
martin_GR,237,nc_house_of_representatives_district_023
martin_R1,295,nc_house_of_representatives_district_023
martin_W1,444,nc_house_of_representatives_district_023
martin_HS,95,nc_house_of_representatives_district_023
martin_CR,226,nc_house_of_representatives_district_023
martin_J,395,nc_house_of_representatives_district_023
martin_W,207,nc_house_of_representatives_district_023
martin_BG,317,nc_house_of_representatives_district_023
martin_W2,568,nc_house_of_representatives_district_023
martin_PP,71,nc_house_of_representatives_district_023
