prec_id,Earle H. Schecter,Larry G. Pittman,election
cabarrus_43868,438,955,nc_house_of_representatives_district_082
cabarrus_43839,105,344,nc_house_of_representatives_district_082
cabarrus_44174,241,577,nc_house_of_representatives_district_082
cabarrus_43838,535,746,nc_house_of_representatives_district_082
cabarrus_44173,181,219,nc_house_of_representatives_district_082
cabarrus_43864,759,1375,nc_house_of_representatives_district_082
cabarrus_43863,609,1084,nc_house_of_representatives_district_082
cabarrus_36586,523,1179,nc_house_of_representatives_district_082
cabarrus_43870,1113,1140,nc_house_of_representatives_district_082
cabarrus_43834,760,1036,nc_house_of_representatives_district_082
cabarrus_43837,352,819,nc_house_of_representatives_district_082
cabarrus_44172,456,45,nc_house_of_representatives_district_082
cabarrus_44177,282,486,nc_house_of_representatives_district_082
cabarrus_44175,185,335,nc_house_of_representatives_district_082
cabarrus_ONESTOP,23,18,nc_house_of_representatives_district_082
cabarrus_44166,137,106,nc_house_of_representatives_district_082
cabarrus_44167,406,224,nc_house_of_representatives_district_082
cabarrus_43836,604,833,nc_house_of_representatives_district_082
cabarrus_44171,339,332,nc_house_of_representatives_district_082
cabarrus_43869,921,1257,nc_house_of_representatives_district_082
cabarrus_43840,435,707,nc_house_of_representatives_district_082
