prec_id,Susi Hamilton,election
brunswick_5,649,nc_house_of_representatives_district_018
brunswick_2,1123,nc_house_of_representatives_district_018
brunswick_CURBSIDE,21,nc_house_of_representatives_district_018
brunswick_04A,646,nc_house_of_representatives_district_018
brunswick_04C1,682,nc_house_of_representatives_district_018
brunswick_1,427,nc_house_of_representatives_district_018
brunswick_3,373,nc_house_of_representatives_district_018
brunswick_6,367,nc_house_of_representatives_district_018
brunswick_04B1,954,nc_house_of_representatives_district_018
new hanover_ONESTOP,0,nc_house_of_representatives_district_018
new hanover_W29,1166,nc_house_of_representatives_district_018
new hanover_W03,757,nc_house_of_representatives_district_018
new hanover_W28,754,nc_house_of_representatives_district_018
new hanover_W27,1255,nc_house_of_representatives_district_018
new hanover_W24,294,nc_house_of_representatives_district_018
new hanover_W12,722,nc_house_of_representatives_district_018
new hanover_W15,1183,nc_house_of_representatives_district_018
new hanover_CF06,74,nc_house_of_representatives_district_018
new hanover_W08,445,nc_house_of_representatives_district_018
new hanover_W25,1237,nc_house_of_representatives_district_018
new hanover_CF01,1096,nc_house_of_representatives_district_018
new hanover_W13,464,nc_house_of_representatives_district_018
