prec_id,Earline W. Parmon,election
forsyth_122,1123,nc_state_senate_district_32
forsyth_901,276,nc_state_senate_district_32
forsyth_906,546,nc_state_senate_district_32
forsyth_31,260,nc_state_senate_district_32
forsyth_807,44,nc_state_senate_district_32
forsyth_33,637,nc_state_senate_district_32
forsyth_101,530,nc_state_senate_district_32
forsyth_909,276,nc_state_senate_district_32
forsyth_67,336,nc_state_senate_district_32
forsyth_705,422,nc_state_senate_district_32
forsyth_72,114,nc_state_senate_district_32
forsyth_112,177,nc_state_senate_district_32
forsyth_42,548,nc_state_senate_district_32
forsyth_708,932,nc_state_senate_district_32
forsyth_806,19,nc_state_senate_district_32
forsyth_82,1289,nc_state_senate_district_32
forsyth_132,326,nc_state_senate_district_32
forsyth_43,276,nc_state_senate_district_32
forsyth_903,314,nc_state_senate_district_32
forsyth_13,496,nc_state_senate_district_32
forsyth_63,53,nc_state_senate_district_32
forsyth_65,42,nc_state_senate_district_32
forsyth_131,22,nc_state_senate_district_32
forsyth_709,739,nc_state_senate_district_32
forsyth_32,189,nc_state_senate_district_32
forsyth_701,67,nc_state_senate_district_32
forsyth_702,76,nc_state_senate_district_32
forsyth_707,150,nc_state_senate_district_32
forsyth_905,336,nc_state_senate_district_32
forsyth_123,203,nc_state_senate_district_32
forsyth_601,514,nc_state_senate_district_32
forsyth_604,276,nc_state_senate_district_32
forsyth_907,203,nc_state_senate_district_32
forsyth_111,13,nc_state_senate_district_32
forsyth_507,1355,nc_state_senate_district_32
forsyth_808,711,nc_state_senate_district_32
forsyth_61,185,nc_state_senate_district_32
forsyth_64,114,nc_state_senate_district_32
forsyth_66,20,nc_state_senate_district_32
forsyth_81,946,nc_state_senate_district_32
forsyth_703,26,nc_state_senate_district_32
forsyth_704,213,nc_state_senate_district_32
forsyth_908,2,nc_state_senate_district_32
forsyth_201,1223,nc_state_senate_district_32
forsyth_203,608,nc_state_senate_district_32
forsyth_206,699,nc_state_senate_district_32
forsyth_404,699,nc_state_senate_district_32
forsyth_405,510,nc_state_senate_district_32
forsyth_506,430,nc_state_senate_district_32
forsyth_902,550,nc_state_senate_district_32
forsyth_904,743,nc_state_senate_district_32
forsyth_302,452,nc_state_senate_district_32
forsyth_304,1025,nc_state_senate_district_32
forsyth_402,591,nc_state_senate_district_32
forsyth_501,913,nc_state_senate_district_32
forsyth_204,584,nc_state_senate_district_32
forsyth_83,751,nc_state_senate_district_32
forsyth_401,690,nc_state_senate_district_32
forsyth_403,583,nc_state_senate_district_32
forsyth_301,363,nc_state_senate_district_32
forsyth_303,282,nc_state_senate_district_32
forsyth_306,507,nc_state_senate_district_32
forsyth_706,380,nc_state_senate_district_32
forsyth_607,772,nc_state_senate_district_32
forsyth_606,483,nc_state_senate_district_32
forsyth_603,739,nc_state_senate_district_32
forsyth_504,402,nc_state_senate_district_32
forsyth_505,566,nc_state_senate_district_32
forsyth_205,327,nc_state_senate_district_32
forsyth_602,1165,nc_state_senate_district_32
forsyth_605,1044,nc_state_senate_district_32
forsyth_207,721,nc_state_senate_district_32
forsyth_503,507,nc_state_senate_district_32
forsyth_502,600,nc_state_senate_district_32
forsyth_305,740,nc_state_senate_district_32
