prec_id,George Holding,John P. McNeil,election
wake_PROVI 41-80,60,72,us_house_of_representatives_district_2
wake_OSCH 1-40,130,946,us_house_of_representatives_district_2
wake_OSGR 41-80,187,212,us_house_of_representatives_district_2
wake_ABSEN 81-91,15,11,us_house_of_representatives_district_2
wake_OSAP 81-91,0,2,us_house_of_representatives_district_2
wake_18-04,818,486,us_house_of_representatives_district_2
wake_19-07,528,364,us_house_of_representatives_district_2
wake_20-08,711,427,us_house_of_representatives_district_2
wake_18-05,920,497,us_house_of_representatives_district_2
wake_19-15,497,256,us_house_of_representatives_district_2
wake_15-02,1034,600,us_house_of_representatives_district_2
wake_14-01,296,120,us_house_of_representatives_district_2
wake_44172,533,274,us_house_of_representatives_district_2
wake_44173,590,563,us_house_of_representatives_district_2
wake_OSOP 41-80,465,430,us_house_of_representatives_district_2
wake_OSCA 41-80,783,974,us_house_of_representatives_district_2
wake_OSKD 41-80,267,770,us_house_of_representatives_district_2
wake_OSLOB 81-91,5,14,us_house_of_representatives_district_2
wake_19-12,807,476,us_house_of_representatives_district_2
wake_44076,283,380,us_house_of_representatives_district_2
wake_15-04,465,208,us_house_of_representatives_district_2
wake_16-01,464,320,us_house_of_representatives_district_2
wake_15-01,838,350,us_house_of_representatives_district_2
wake_OSFB 41-80,33,33,us_house_of_representatives_district_2
wake_OSNB 41-80,34,50,us_house_of_representatives_district_2
wake_OSZB 1-40,2805,2737,us_house_of_representatives_district_2
wake_OSAP 41-80,422,354,us_house_of_representatives_district_2
wake_OSAP 1-40,7289,8198,us_house_of_representatives_district_2
wake_13-10,952,663,us_house_of_representatives_district_2
wake_44108,731,670,us_house_of_representatives_district_2
wake_18-03,516,374,us_house_of_representatives_district_2
wake_OSLL 1-40,2203,2812,us_house_of_representatives_district_2
wake_OSFV 81-91,1,0,us_house_of_representatives_district_2
wake_OSAV 41-80,776,953,us_house_of_representatives_district_2
wake_OSCB 81-91,7,6,us_house_of_representatives_district_2
wake_OSCB 1-40,341,457,us_house_of_representatives_district_2
wake_OSTC 81-91,1,0,us_house_of_representatives_district_2
wake_OSOP 81-91,1,0,us_house_of_representatives_district_2
wake_OSTC 41-80,48,59,us_house_of_representatives_district_2
wake_18-02,1039,458,us_house_of_representatives_district_2
wake_19-05,843,267,us_house_of_representatives_district_2
wake_OSNR 41-80,23,47,us_house_of_representatives_district_2
wake_36586,804,446,us_house_of_representatives_district_2
wake_17168,508,317,us_house_of_representatives_district_2
wake_43928,717,344,us_house_of_representatives_district_2
wake_16-09,445,415,us_house_of_representatives_district_2
wake_ABSEN 1-40,5455,4318,us_house_of_representatives_district_2
wake_19-14,523,294,us_house_of_representatives_district_2
wake_19-11,573,268,us_house_of_representatives_district_2
wake_15342,541,267,us_house_of_representatives_district_2
wake_OSZB 41-80,242,735,us_house_of_representatives_district_2
wake_TRANS 81-91,0,0,us_house_of_representatives_district_2
wake_13-11,490,312,us_house_of_representatives_district_2
wake_OSLOB 1-40,871,1168,us_house_of_representatives_district_2
wake_OSWA 1-40,2747,1742,us_house_of_representatives_district_2
wake_OSWA 81-91,10,14,us_house_of_representatives_district_2
wake_OSCB 41-80,93,158,us_house_of_representatives_district_2
wake_OSZB 81-91,4,0,us_house_of_representatives_district_2
wake_TRANS 41-80,0,0,us_house_of_representatives_district_2
wake_OSHS 81-91,1,0,us_house_of_representatives_district_2
wake_OSKD 81-91,0,0,us_house_of_representatives_district_2
wake_OSCA 1-40,1103,1458,us_house_of_representatives_district_2
wake_OSFV 1-40,5120,3475,us_house_of_representatives_district_2
wake_44051,738,482,us_house_of_representatives_district_2
wake_14-02,1591,536,us_house_of_representatives_district_2
wake_44174,690,326,us_house_of_representatives_district_2
wake_43862,718,375,us_house_of_representatives_district_2
wake_43987,589,290,us_house_of_representatives_district_2
wake_43988,1010,531,us_house_of_representatives_district_2
