prec_id,Larry D. Hall,election
durham_41,499,nc_house_of_representatives_district_029
durham_7,192,nc_house_of_representatives_district_029
durham_36,731,nc_house_of_representatives_district_029
durham_15,315,nc_house_of_representatives_district_029
durham_47,494,nc_house_of_representatives_district_029
durham_16,635,nc_house_of_representatives_district_029
durham_38,389,nc_house_of_representatives_district_029
durham_39,259,nc_house_of_representatives_district_029
durham_54,1273,nc_house_of_representatives_district_029
durham_14,355,nc_house_of_representatives_district_029
durham_48,149,nc_house_of_representatives_district_029
durham_55-49,384,nc_house_of_representatives_district_029
durham_42,369,nc_house_of_representatives_district_029
durham_8,603,nc_house_of_representatives_district_029
durham_10,257,nc_house_of_representatives_district_029
durham_9,798,nc_house_of_representatives_district_029
durham_40,539,nc_house_of_representatives_district_029
durham_6,84,nc_house_of_representatives_district_029
durham_12,174,nc_house_of_representatives_district_029
durham_17,593,nc_house_of_representatives_district_029
durham_34-2,905,nc_house_of_representatives_district_029
durham_34-1,750,nc_house_of_representatives_district_029
durham_55-11,503,nc_house_of_representatives_district_029
durham_ONESTOP,8671,nc_house_of_representatives_district_029
durham_2,130,nc_house_of_representatives_district_029
durham_35.3,482,nc_house_of_representatives_district_029
durham_33,185,nc_house_of_representatives_district_029
durham_13,271,nc_house_of_representatives_district_029
durham_18,67,nc_house_of_representatives_district_029
durham_53-1,173,nc_house_of_representatives_district_029
durham_51,938,nc_house_of_representatives_district_029
