prec_id,Carl Ford,election
cabarrus_36739,1236,nc_house_of_representatives_district_076
cabarrus_36770,964,nc_house_of_representatives_district_076
cabarrus_OS-CBB,842,nc_house_of_representatives_district_076
cabarrus_OS-CFS,150,nc_house_of_representatives_district_076
cabarrus_OS-LOB,2250,nc_house_of_representatives_district_076
cabarrus_36647,724,nc_house_of_representatives_district_076
cabarrus_43924,581,nc_house_of_representatives_district_076
cabarrus_OS-HBL,190,nc_house_of_representatives_district_076
cabarrus_36708,518,nc_house_of_representatives_district_076
cabarrus_36678,963,nc_house_of_representatives_district_076
cabarrus_ABSENTEE,350,nc_house_of_representatives_district_076
rowan_15,1875,nc_house_of_representatives_district_076
rowan_17,1163,nc_house_of_representatives_district_076
rowan_19A,2316,nc_house_of_representatives_district_076
rowan_23,957,nc_house_of_representatives_district_076
rowan_26,1115,nc_house_of_representatives_district_076
rowan_33,1188,nc_house_of_representatives_district_076
rowan_31,875,nc_house_of_representatives_district_076
rowan_13,1276,nc_house_of_representatives_district_076
rowan_18,199,nc_house_of_representatives_district_076
rowan_25,2091,nc_house_of_representatives_district_076
rowan_1,1082,nc_house_of_representatives_district_076
rowan_16,883,nc_house_of_representatives_district_076
rowan_2,611,nc_house_of_representatives_district_076
rowan_05A,2279,nc_house_of_representatives_district_076
rowan_22,523,nc_house_of_representatives_district_076
rowan_35,410,nc_house_of_representatives_district_076
rowan_38,908,nc_house_of_representatives_district_076
rowan_36,1010,nc_house_of_representatives_district_076
