prec_id,Rayne Brown,election
davidson_84,1393,nc_house_of_representatives_district_081
davidson_4,1583,nc_house_of_representatives_district_081
davidson_28,717,nc_house_of_representatives_district_081
davidson_34,387,nc_house_of_representatives_district_081
davidson_32,238,nc_house_of_representatives_district_081
davidson_38,115,nc_house_of_representatives_district_081
davidson_58,801,nc_house_of_representatives_district_081
davidson_36,263,nc_house_of_representatives_district_081
davidson_52,1252,nc_house_of_representatives_district_081
davidson_78,929,nc_house_of_representatives_district_081
davidson_10,686,nc_house_of_representatives_district_081
davidson_50,891,nc_house_of_representatives_district_081
davidson_30,246,nc_house_of_representatives_district_081
davidson_6,700,nc_house_of_representatives_district_081
davidson_40,545,nc_house_of_representatives_district_081
davidson_26,283,nc_house_of_representatives_district_081
davidson_24,390,nc_house_of_representatives_district_081
davidson_82,904,nc_house_of_representatives_district_081
davidson_CURBSIDE,122,nc_house_of_representatives_district_081
davidson_8,356,nc_house_of_representatives_district_081
davidson_22,240,nc_house_of_representatives_district_081
davidson_48,793,nc_house_of_representatives_district_081
davidson_70,684,nc_house_of_representatives_district_081
