prec_id,Olen Watson III,Yvonne Lewis Holley,election
wake_OSNB 1-40,49,155,nc_house_of_representatives_district_038
wake_OSGR 81-91,9,32,nc_house_of_representatives_district_038
wake_OSAV 81-91,2,7,nc_house_of_representatives_district_038
wake_OSNR 1-40,82,504,nc_house_of_representatives_district_038
wake_13-09,237,689,nc_house_of_representatives_district_038
wake_17-07,107,479,nc_house_of_representatives_district_038
wake_17-10,92,203,nc_house_of_representatives_district_038
wake_17-01,179,483,nc_house_of_representatives_district_038
wake_17-04,10,57,nc_house_of_representatives_district_038
wake_43858,186,817,nc_house_of_representatives_district_038
wake_17-05,249,680,nc_house_of_representatives_district_038
wake_OSCA 81-91,0,5,nc_house_of_representatives_district_038
wake_OSLL 81-91,7,24,nc_house_of_representatives_district_038
wake_PROVI 1-40,46,301,nc_house_of_representatives_district_038
wake_OSNR 81-91,4,3,nc_house_of_representatives_district_038
wake_OSTC 1-40,23,51,nc_house_of_representatives_district_038
wake_TRANS 1-40,0,0,nc_house_of_representatives_district_038
wake_43849,41,472,nc_house_of_representatives_district_038
wake_13-05,169,404,nc_house_of_representatives_district_038
wake_13-08,135,566,nc_house_of_representatives_district_038
wake_43844,22,53,nc_house_of_representatives_district_038
wake_OSCH 1-40,332,6165,nc_house_of_representatives_district_038
wake_ABSEN 81-91,3,19,nc_house_of_representatives_district_038
wake_OSAP 81-91,1,0,nc_house_of_representatives_district_038
wake_12420,34,511,nc_house_of_representatives_district_038
wake_OSLOB 81-91,17,72,nc_house_of_representatives_district_038
wake_17-08,83,235,nc_house_of_representatives_district_038
wake_OSZB 1-40,49,229,nc_house_of_representatives_district_038
wake_OSAP 1-40,7,31,nc_house_of_representatives_district_038
wake_13-01,101,585,nc_house_of_representatives_district_038
wake_17-03,78,238,nc_house_of_representatives_district_038
wake_13881,16,76,nc_house_of_representatives_district_038
wake_OSLL 1-40,78,568,nc_house_of_representatives_district_038
wake_OSFV 81-91,0,0,nc_house_of_representatives_district_038
wake_OSCB 81-91,3,8,nc_house_of_representatives_district_038
wake_OSCB 1-40,27,108,nc_house_of_representatives_district_038
wake_OSTC 81-91,0,6,nc_house_of_representatives_district_038
wake_OSOP 81-91,9,14,nc_house_of_representatives_district_038
wake_13-07,180,489,nc_house_of_representatives_district_038
wake_17-11,212,598,nc_house_of_representatives_district_038
wake_ABSEN 1-40,223,774,nc_house_of_representatives_district_038
wake_14611,89,949,nc_house_of_representatives_district_038
wake_TRANS 81-91,0,0,nc_house_of_representatives_district_038
wake_16803,89,552,nc_house_of_representatives_district_038
wake_16072,41,165,nc_house_of_representatives_district_038
wake_OSLOB 1-40,155,1261,nc_house_of_representatives_district_038
wake_OSWA 1-40,10,66,nc_house_of_representatives_district_038
wake_OSWA 81-91,1,0,nc_house_of_representatives_district_038
wake_OSZB 81-91,1,7,nc_house_of_representatives_district_038
wake_OSHS 81-91,0,0,nc_house_of_representatives_district_038
wake_OSKD 81-91,16,81,nc_house_of_representatives_district_038
wake_OSCA 1-40,14,105,nc_house_of_representatives_district_038
wake_OSFV 1-40,2,11,nc_house_of_representatives_district_038
wake_OSWD 81-91,4,7,nc_house_of_representatives_district_038
wake_OSWD 1-40,77,194,nc_house_of_representatives_district_038
wake_OSCH 81-91,21,160,nc_house_of_representatives_district_038
wake_OSAB 1-40,368,1601,nc_house_of_representatives_district_038
wake_PROVI 81-91,3,5,nc_house_of_representatives_district_038
wake_OSKD 1-40,195,1039,nc_house_of_representatives_district_038
wake_OSGR 1-40,826,5308,nc_house_of_representatives_district_038
wake_43843,46,140,nc_house_of_representatives_district_038
wake_OSAB 81-91,19,54,nc_house_of_representatives_district_038
wake_OSHS 1-40,2,10,nc_house_of_representatives_district_038
wake_OSOP 1-40,69,265,nc_house_of_representatives_district_038
wake_OSFB 1-40,13,41,nc_house_of_representatives_district_038
wake_OSFB 81-91,0,0,nc_house_of_representatives_district_038
wake_OSAV 1-40,33,255,nc_house_of_representatives_district_038
wake_OSNB 81-91,0,3,nc_house_of_representatives_district_038
