prec_id,Erica Smith-Ingram,election
bertie_SN,146,nc_state_senate_district_03
bertie_ABSENTEE,106,nc_state_senate_district_03
bertie_OS-POW,1030,nc_state_senate_district_03
bertie_OS-LOB,2734,nc_state_senate_district_03
bertie_C2,172,nc_state_senate_district_03
bertie_WH,159,nc_state_senate_district_03
bertie_IW,113,nc_state_senate_district_03
bertie_M1,160,nc_state_senate_district_03
bertie_C1,162,nc_state_senate_district_03
bertie_WD,283,nc_state_senate_district_03
bertie_MH,135,nc_state_senate_district_03
bertie_W2,102,nc_state_senate_district_03
bertie_M2,245,nc_state_senate_district_03
bertie_W1,531,nc_state_senate_district_03
bertie_RX,343,nc_state_senate_district_03
chowan_4,125,nc_state_senate_district_03
chowan_1,226,nc_state_senate_district_03
chowan_5,132,nc_state_senate_district_03
chowan_2,302,nc_state_senate_district_03
chowan_6,178,nc_state_senate_district_03
chowan_3,201,nc_state_senate_district_03
chowan_OS BOE,2761,nc_state_senate_district_03
chowan_OS NCC,191,nc_state_senate_district_03
chowan_ABSENTEE,163,nc_state_senate_district_03
edgecombe_1401,158,nc_state_senate_district_03
edgecombe_301,88,nc_state_senate_district_03
edgecombe_1201,543,nc_state_senate_district_03
edgecombe_104,329,nc_state_senate_district_03
edgecombe_1101,205,nc_state_senate_district_03
edgecombe_1204,249,nc_state_senate_district_03
edgecombe_601,242,nc_state_senate_district_03
edgecombe_CURBSIDE,19,nc_state_senate_district_03
edgecombe_501,159,nc_state_senate_district_03
edgecombe_701,252,nc_state_senate_district_03
edgecombe_801,176,nc_state_senate_district_03
edgecombe_102,442,nc_state_senate_district_03
edgecombe_103,382,nc_state_senate_district_03
edgecombe_401,144,nc_state_senate_district_03
edgecombe_ABSENTEE,119,nc_state_senate_district_03
edgecombe_1205,165,nc_state_senate_district_03
edgecombe_1203,399,nc_state_senate_district_03
edgecombe_1202,289,nc_state_senate_district_03
edgecombe_901,213,nc_state_senate_district_03
edgecombe_101,420,nc_state_senate_district_03
edgecombe_1301,210,nc_state_senate_district_03
edgecombe_201,278,nc_state_senate_district_03
edgecombe_1001,261,nc_state_senate_district_03
martin_HS,92,nc_state_senate_district_03
martin_CR,229,nc_state_senate_district_03
martin_J,377,nc_state_senate_district_03
martin_W,183,nc_state_senate_district_03
martin_BG,349,nc_state_senate_district_03
martin_HM,232,nc_state_senate_district_03
martin_PP,70,nc_state_senate_district_03
martin_ABSENTEE,128,nc_state_senate_district_03
martin_GN,284,nc_state_senate_district_03
martin_R2,371,nc_state_senate_district_03
martin_GR,268,nc_state_senate_district_03
martin_W1,443,nc_state_senate_district_03
martin_R1,298,nc_state_senate_district_03
martin_W2,434,nc_state_senate_district_03
hertford_WN,160,nc_state_senate_district_03
hertford_UN,179,nc_state_senate_district_03
hertford_CM,119,nc_state_senate_district_03
hertford_A1,359,nc_state_senate_district_03
hertford_A2,292,nc_state_senate_district_03
hertford_SJ,231,nc_state_senate_district_03
hertford_OS AHOSKIE,1927,nc_state_senate_district_03
hertford_ML,106,nc_state_senate_district_03
hertford_BR,107,nc_state_senate_district_03
hertford_HV,216,nc_state_senate_district_03
hertford_CO,139,nc_state_senate_district_03
hertford_M2,218,nc_state_senate_district_03
hertford_OS MBORO,1380,nc_state_senate_district_03
hertford_M1,428,nc_state_senate_district_03
hertford_A3,255,nc_state_senate_district_03
hertford_OS BOE,1215,nc_state_senate_district_03
hertford_MAIL ABSENTEE,143,nc_state_senate_district_03
northampton_GASTON,519,nc_state_senate_district_03
northampton_WOODLA,183,nc_state_senate_district_03
northampton_SEVERN,98,nc_state_senate_district_03
northampton_LAKE G,167,nc_state_senate_district_03
northampton_OS RICH SQUARE,673,nc_state_senate_district_03
northampton_REHOBE,58,nc_state_senate_district_03
northampton_RICH S,245,nc_state_senate_district_03
northampton_SEABOA,189,nc_state_senate_district_03
northampton_GALATI,123,nc_state_senate_district_03
northampton_PENDLE,71,nc_state_senate_district_03
northampton_NEWTOW,147,nc_state_senate_district_03
northampton_POTECA,52,nc_state_senate_district_03
northampton_JACKSO,96,nc_state_senate_district_03
northampton_GARYSB,404,nc_state_senate_district_03
northampton_OS LAKE GASTON,435,nc_state_senate_district_03
northampton_OS OFFICE,1883,nc_state_senate_district_03
northampton_MILWAU,116,nc_state_senate_district_03
northampton_CREEKS,102,nc_state_senate_district_03
northampton_OS GASTON,936,nc_state_senate_district_03
northampton_LASKER,50,nc_state_senate_district_03
northampton_CONWAY,212,nc_state_senate_district_03
northampton_PLEASA,96,nc_state_senate_district_03
tyrrell_1,99,nc_state_senate_district_03
tyrrell_14,17,nc_state_senate_district_03
tyrrell_16,9,nc_state_senate_district_03
tyrrell_ABSENTEE,18,nc_state_senate_district_03
tyrrell_2,248,nc_state_senate_district_03
tyrrell_15,118,nc_state_senate_district_03
tyrrell_3,51,nc_state_senate_district_03
washington_P1,178,nc_state_senate_district_03
washington_SK,213,nc_state_senate_district_03
washington_ABSENTEE,90,nc_state_senate_district_03
washington_P2,168,nc_state_senate_district_03
washington_P3,357,nc_state_senate_district_03
washington_LM,380,nc_state_senate_district_03
washington_SC,313,nc_state_senate_district_03
