prec_id,John Thorpe,Rick Gunn,election
alamance_5,366,1414,nc_state_senate_district_24
alamance_2,436,1964,nc_state_senate_district_24
alamance_09N,565,848,nc_state_senate_district_24
alamance_03C,641,1172,nc_state_senate_district_24
alamance_1210,611,580,nc_state_senate_district_24
alamance_103,609,1304,nc_state_senate_district_24
alamance_125,543,843,nc_state_senate_district_24
alamance_127,1822,654,nc_state_senate_district_24
alamance_06E,735,685,nc_state_senate_district_24
alamance_13,1045,1029,nc_state_senate_district_24
alamance_03W,668,1225,nc_state_senate_district_24
alamance_12W,716,631,nc_state_senate_district_24
alamance_35,950,1530,nc_state_senate_district_24
alamance_09S,1128,1753,nc_state_senate_district_24
alamance_128,773,350,nc_state_senate_district_24
alamance_08S,285,725,nc_state_senate_district_24
alamance_08N,667,1183,nc_state_senate_district_24
alamance_10N,947,1501,nc_state_senate_district_24
alamance_06W,345,272,nc_state_senate_district_24
alamance_63,988,544,nc_state_senate_district_24
alamance_10S,2448,2320,nc_state_senate_district_24
alamance_4,618,2019,nc_state_senate_district_24
alamance_1,474,1826,nc_state_senate_district_24
alamance_11,1158,1025,nc_state_senate_district_24
alamance_03N2,264,257,nc_state_senate_district_24
alamance_64,1090,1794,nc_state_senate_district_24
alamance_12S,492,195,nc_state_senate_district_24
alamance_03N,960,1243,nc_state_senate_district_24
alamance_03S,1745,2144,nc_state_senate_district_24
alamance_124,549,685,nc_state_senate_district_24
alamance_129,392,772,nc_state_senate_district_24
alamance_7,468,1654,nc_state_senate_district_24
alamance_12N,1770,299,nc_state_senate_district_24
alamance_126,524,881,nc_state_senate_district_24
alamance_06N,822,435,nc_state_senate_district_24
alamance_06S,725,1183,nc_state_senate_district_24
alamance_12E,554,320,nc_state_senate_district_24
randolph_DR,563,2208,nc_state_senate_district_24
randolph_PR,609,3207,nc_state_senate_district_24
randolph_RM,595,1265,nc_state_senate_district_24
randolph_ST,255,1100,nc_state_senate_district_24
randolph_SE,249,1147,nc_state_senate_district_24
randolph_SO,100,566,nc_state_senate_district_24
randolph_LB,679,1137,nc_state_senate_district_24
randolph_GR,513,1944,nc_state_senate_district_24
