prec_id,Jeremy Hachen,Linda P. Johnson,election
cabarrus_43867,409,506,nc_house_of_representatives_district_083
cabarrus_43931,291,551,nc_house_of_representatives_district_083
cabarrus_43929,126,311,nc_house_of_representatives_district_083
cabarrus_43928,105,366,nc_house_of_representatives_district_083
cabarrus_OS-CBB,2055,3355,nc_house_of_representatives_district_083
cabarrus_43926,160,220,nc_house_of_representatives_district_083
cabarrus_36800,427,1674,nc_house_of_representatives_district_083
cabarrus_43922,350,414,nc_house_of_representatives_district_083
cabarrus_OS-CFS,756,1499,nc_house_of_representatives_district_083
cabarrus_44168,188,398,nc_house_of_representatives_district_083
cabarrus_44169,259,312,nc_house_of_representatives_district_083
cabarrus_43923,350,301,nc_house_of_representatives_district_083
cabarrus_43930,211,513,nc_house_of_representatives_district_083
cabarrus_OS-LOB,4012,5308,nc_house_of_representatives_district_083
cabarrus_43866,336,785,nc_house_of_representatives_district_083
cabarrus_43927,272,285,nc_house_of_representatives_district_083
cabarrus_OS-HBL,499,956,nc_house_of_representatives_district_083
cabarrus_43925,189,213,nc_house_of_representatives_district_083
cabarrus_44170,189,535,nc_house_of_representatives_district_083
cabarrus_43862,248,470,nc_house_of_representatives_district_083
cabarrus_44136,703,812,nc_house_of_representatives_district_083
cabarrus_44137,245,771,nc_house_of_representatives_district_083
cabarrus_ABSENTEE,481,1094,nc_house_of_representatives_district_083
cabarrus_44176,172,312,nc_house_of_representatives_district_083
cabarrus_43832,194,730,nc_house_of_representatives_district_083
