prec_id,Eugene Russell,Kyle Hall,election
rockingham_NB,122,277,nc_house_of_representatives_district_091
rockingham_MA,1034,1552,nc_house_of_representatives_district_091
rockingham_MC,1307,1176,nc_house_of_representatives_district_091
rockingham_WS,2145,2144,nc_house_of_representatives_district_091
rockingham_MS,2945,2115,nc_house_of_representatives_district_091
rockingham_HO,150,230,nc_house_of_representatives_district_091
stokes_18,89,83,nc_house_of_representatives_district_091
stokes_OS DANBURY,605,1517,nc_house_of_representatives_district_091
stokes_ABSENTEE,147,572,nc_house_of_representatives_district_091
stokes_4,58,436,nc_house_of_representatives_district_091
stokes_7,70,196,nc_house_of_representatives_district_091
stokes_15,84,393,nc_house_of_representatives_district_091
stokes_12,99,566,nc_house_of_representatives_district_091
stokes_OS WALNUT COVE,919,1980,nc_house_of_representatives_district_091
stokes_1,48,220,nc_house_of_representatives_district_091
stokes_20,150,464,nc_house_of_representatives_district_091
stokes_14,128,537,nc_house_of_representatives_district_091
stokes_16,141,244,nc_house_of_representatives_district_091
stokes_19,85,284,nc_house_of_representatives_district_091
stokes_11,102,604,nc_house_of_representatives_district_091
stokes_8,81,436,nc_house_of_representatives_district_091
stokes_OS KING,1149,4940,nc_house_of_representatives_district_091
stokes_17,89,267,nc_house_of_representatives_district_091
stokes_13,78,476,nc_house_of_representatives_district_091
stokes_5,87,269,nc_house_of_representatives_district_091
stokes_2,187,618,nc_house_of_representatives_district_091
stokes_10,82,578,nc_house_of_representatives_district_091
stokes_9,117,611,nc_house_of_representatives_district_091
stokes_6,50,270,nc_house_of_representatives_district_091
stokes_3,70,485,nc_house_of_representatives_district_091
