prec_id,Dan Soucek,Jim Sponenberg,election
alleghany_1,422,172,nc_state_senate_district_45
alleghany_CURBSIDE,0,0,nc_state_senate_district_45
alleghany_2,109,40,nc_state_senate_district_45
alleghany_5,170,120,nc_state_senate_district_45
alleghany_3,819,656,nc_state_senate_district_45
alleghany_6,229,116,nc_state_senate_district_45
alleghany_4,473,198,nc_state_senate_district_45
alleghany_7,230,96,nc_state_senate_district_45
ashe_12,188,69,nc_state_senate_district_45
ashe_15,218,77,nc_state_senate_district_45
ashe_17,220,78,nc_state_senate_district_45
ashe_14,371,190,nc_state_senate_district_45
ashe_16,374,177,nc_state_senate_district_45
ashe_20,510,271,nc_state_senate_district_45
ashe_4,83,66,nc_state_senate_district_45
ashe_7,77,68,nc_state_senate_district_45
ashe_2,275,139,nc_state_senate_district_45
ashe_8,34,36,nc_state_senate_district_45
ashe_ONESTOP,1905,1216,nc_state_senate_district_45
ashe_11,368,235,nc_state_senate_district_45
ashe_10,56,32,nc_state_senate_district_45
ashe_13,237,126,nc_state_senate_district_45
ashe_18,42,15,nc_state_senate_district_45
ashe_6,119,68,nc_state_senate_district_45
ashe_9,529,349,nc_state_senate_district_45
ashe_3,152,42,nc_state_senate_district_45
avery_13,130,48,nc_state_senate_district_45
avery_18,89,19,nc_state_senate_district_45
avery_5,97,6,nc_state_senate_district_45
avery_8,111,19,nc_state_senate_district_45
avery_ONESTOP,636,246,nc_state_senate_district_45
avery_2,437,198,nc_state_senate_district_45
avery_14,213,41,nc_state_senate_district_45
avery_19,94,10,nc_state_senate_district_45
avery_11,129,46,nc_state_senate_district_45
avery_1,256,69,nc_state_senate_district_45
avery_16,318,141,nc_state_senate_district_45
avery_15,176,36,nc_state_senate_district_45
avery_12,82,12,nc_state_senate_district_45
avery_17,160,28,nc_state_senate_district_45
avery_4,25,8,nc_state_senate_district_45
avery_7,67,10,nc_state_senate_district_45
avery_9,111,11,nc_state_senate_district_45
avery_10,221,51,nc_state_senate_district_45
avery_3,161,25,nc_state_senate_district_45
avery_6,160,29,nc_state_senate_district_45
caldwell_PR14,365,169,nc_state_senate_district_45
caldwell_ONESTOP,5444,3703,nc_state_senate_district_45
caldwell_PR05,438,259,nc_state_senate_district_45
caldwell_PR16,82,191,nc_state_senate_district_45
caldwell_PR22,457,204,nc_state_senate_district_45
caldwell_PR25,237,126,nc_state_senate_district_45
caldwell_PR02,198,147,nc_state_senate_district_45
caldwell_PR21,469,186,nc_state_senate_district_45
caldwell_PR28,538,165,nc_state_senate_district_45
caldwell_PR30,153,249,nc_state_senate_district_45
caldwell_PR07,321,129,nc_state_senate_district_45
caldwell_PR31,133,107,nc_state_senate_district_45
caldwell_PR01,365,243,nc_state_senate_district_45
caldwell_PR06,350,198,nc_state_senate_district_45
caldwell_PR15,541,195,nc_state_senate_district_45
caldwell_PR13,514,195,nc_state_senate_district_45
caldwell_PR18,408,375,nc_state_senate_district_45
caldwell_PR17,191,206,nc_state_senate_district_45
caldwell_PR08,197,148,nc_state_senate_district_45
caldwell_PR24,243,124,nc_state_senate_district_45
caldwell_PR29,231,234,nc_state_senate_district_45
caldwell_PR32,451,216,nc_state_senate_district_45
watauga_12,62,107,nc_state_senate_district_45
watauga_15,399,301,nc_state_senate_district_45
watauga_17,123,92,nc_state_senate_district_45
watauga_7,369,278,nc_state_senate_district_45
watauga_13,153,195,nc_state_senate_district_45
watauga_10,191,99,nc_state_senate_district_45
watauga_6,76,123,nc_state_senate_district_45
watauga_3,377,313,nc_state_senate_district_45
watauga_9,123,70,nc_state_senate_district_45
watauga_18,411,147,nc_state_senate_district_45
watauga_2,269,106,nc_state_senate_district_45
watauga_5,74,164,nc_state_senate_district_45
watauga_8,422,220,nc_state_senate_district_45
watauga_ONESTOP,3122,4521,nc_state_senate_district_45
watauga_11,400,193,nc_state_senate_district_45
watauga_14,286,259,nc_state_senate_district_45
watauga_16,41,11,nc_state_senate_district_45
watauga_19,542,301,nc_state_senate_district_45
watauga_4,525,305,nc_state_senate_district_45
watauga_1,78,59,nc_state_senate_district_45
watauga_20,93,51,nc_state_senate_district_45
