prec_id,Amos Quick,election
guilford_G53,1927,nc_house_of_representatives_district_058
guilford_G15,657,nc_house_of_representatives_district_058
guilford_G12,518,nc_house_of_representatives_district_058
guilford_G48,915,nc_house_of_representatives_district_058
guilford_G50,597,nc_house_of_representatives_district_058
guilford_G45,2369,nc_house_of_representatives_district_058
guilford_G44,1271,nc_house_of_representatives_district_058
guilford_G16,783,nc_house_of_representatives_district_058
guilford_ABS/CURB/PROV 4,0,nc_house_of_representatives_district_058
guilford_G71,1428,nc_house_of_representatives_district_058
guilford_G33,862,nc_house_of_representatives_district_058
guilford_G35,705,nc_house_of_representatives_district_058
guilford_G17,857,nc_house_of_representatives_district_058
guilford_G46,1727,nc_house_of_representatives_district_058
guilford_SUM2,806,nc_house_of_representatives_district_058
guilford_G54,1659,nc_house_of_representatives_district_058
guilford_G51,878,nc_house_of_representatives_district_058
guilford_G47,1538,nc_house_of_representatives_district_058
guilford_JEF4,19,nc_house_of_representatives_district_058
guilford_JEF3,2432,nc_house_of_representatives_district_058
guilford_ABS/PROV/CURB 1,85,nc_house_of_representatives_district_058
guilford_G14,602,nc_house_of_representatives_district_058
guilford_G52,1156,nc_house_of_representatives_district_058
guilford_G69,1401,nc_house_of_representatives_district_058
guilford_G18,602,nc_house_of_representatives_district_058
guilford_ABS/PROV/CURB 3,43,nc_house_of_representatives_district_058
guilford_G74,1507,nc_house_of_representatives_district_058
guilford_G73,1019,nc_house_of_representatives_district_058
guilford_G34,991,nc_house_of_representatives_district_058
guilford_G36,728,nc_house_of_representatives_district_058
guilford_ABS/PROV/CURB 2,314,nc_house_of_representatives_district_058
guilford_G70,1450,nc_house_of_representatives_district_058
guilford_G75,1180,nc_house_of_representatives_district_058
guilford_G20,226,nc_house_of_representatives_district_058
guilford_FEN1,1924,nc_house_of_representatives_district_058
