prec_id,Lee Zachary,election
alexander_T1T4T5,2128,nc_house_of_representatives_district_073
alexander_E,1364,nc_house_of_representatives_district_073
alexander_B1,1811,nc_house_of_representatives_district_073
alexander_G1G2,897,nc_house_of_representatives_district_073
alexander_S1S2,1534,nc_house_of_representatives_district_073
alexander_W,1030,nc_house_of_representatives_district_073
alexander_T2T3,1494,nc_house_of_representatives_district_073
alexander_M,946,nc_house_of_representatives_district_073
alexander_B2,2087,nc_house_of_representatives_district_073
alexander_LRSL,1198,nc_house_of_representatives_district_073
wilkes_OS MULBERRY,6,nc_house_of_representatives_district_073
wilkes_OS PLEASANT HILL,11,nc_house_of_representatives_district_073
wilkes_128,1,nc_house_of_representatives_district_073
wilkes_OS MILLER CRK,1,nc_house_of_representatives_district_073
wilkes_103,199,nc_house_of_representatives_district_073
wilkes_122,412,nc_house_of_representatives_district_073
wilkes_ABSENTEE,13,nc_house_of_representatives_district_073
wilkes_OS OFFICE,198,nc_house_of_representatives_district_073
wilkes_OS MTN VIEW,0,nc_house_of_representatives_district_073
yadkin_DCRK,565,nc_house_of_representatives_district_073
yadkin_SLIB,734,nc_house_of_representatives_district_073
yadkin_EBND,912,nc_house_of_representatives_district_073
yadkin_FBSH,1051,nc_house_of_representatives_district_073
yadkin_NKNB,991,nc_house_of_representatives_district_073
yadkin_SBCK,374,nc_house_of_representatives_district_073
yadkin_NFAL,467,nc_house_of_representatives_district_073
yadkin_SFAL,613,nc_house_of_representatives_district_073
yadkin_NLIB,668,nc_house_of_representatives_district_073
yadkin_BNVL,1003,nc_house_of_representatives_district_073
yadkin_NBCK,526,nc_house_of_representatives_district_073
yadkin_SKNB,437,nc_house_of_representatives_district_073
yadkin_ABSENTEE,466,nc_house_of_representatives_district_073
