prec_id,Jerry W. Tillman,election
moore_OS-DC PAPER,619,nc_state_senate_district_29
moore_VSS,416,nc_state_senate_district_29
moore_WAB,808,nc_state_senate_district_29
moore_WEM,649,nc_state_senate_district_29
moore_ABSENTEE,1835,nc_state_senate_district_29
moore_WKWD,385,nc_state_senate_district_29
moore_BEN,422,nc_state_senate_district_29
moore_SLS,710,nc_state_senate_district_29
moore_CAM,450,nc_state_senate_district_29
moore_EUR-WP,963,nc_state_senate_district_29
moore_CAR,612,nc_state_senate_district_29
moore_PHB2,509,nc_state_senate_district_29
moore_SSP,477,nc_state_senate_district_29
moore_OS-WEG PAPER,2224,nc_state_senate_district_29
moore_PHB1,528,nc_state_senate_district_29
moore_LTR,626,nc_state_senate_district_29
moore_DHR,464,nc_state_senate_district_29
moore_EWD,343,nc_state_senate_district_29
moore_OS-AG PAPER,9813,nc_state_senate_district_29
moore_NSP,511,nc_state_senate_district_29
moore_TLT,75,nc_state_senate_district_29
moore_PHA1,621,nc_state_senate_district_29
moore_PHA2,406,nc_state_senate_district_29
moore_PDN,738,nc_state_senate_district_29
moore_OS-PFD PAPER,4488,nc_state_senate_district_29
moore_OS-VRS PAPER,966,nc_state_senate_district_29
moore_WND,343,nc_state_senate_district_29
moore_PHC,884,nc_state_senate_district_29
moore_RBN,256,nc_state_senate_district_29
moore_PBF,590,nc_state_senate_district_29
moore_EKWD,266,nc_state_senate_district_29
moore_EAB,597,nc_state_senate_district_29
randolph_AW,2680,nc_state_senate_district_29
randolph_AS,2226,nc_state_senate_district_29
randolph_RN,2920,nc_state_senate_district_29
randolph_LC,1314,nc_state_senate_district_29
randolph_SW,1609,nc_state_senate_district_29
randolph_AN,1756,nc_state_senate_district_29
randolph_NM,2511,nc_state_senate_district_29
randolph_SO,1454,nc_state_senate_district_29
randolph_TR,4714,nc_state_senate_district_29
randolph_TB,1689,nc_state_senate_district_29
randolph_AR,4648,nc_state_senate_district_29
randolph_TT,2486,nc_state_senate_district_29
randolph_UG,4177,nc_state_senate_district_29
randolph_BC,1876,nc_state_senate_district_29
randolph_AE,1818,nc_state_senate_district_29
