prec_id,Leo Daughtry,election
johnston_PR28,1321,nc_house_of_representatives_district_026
johnston_PR30,885,nc_house_of_representatives_district_026
johnston_PR31B,377,nc_house_of_representatives_district_026
johnston_PR11A,854,nc_house_of_representatives_district_026
johnston_PR09,1579,nc_house_of_representatives_district_026
johnston_PR12A,1332,nc_house_of_representatives_district_026
johnston_PR11B,1338,nc_house_of_representatives_district_026
johnston_PR12B,1249,nc_house_of_representatives_district_026
johnston_PR34,1567,nc_house_of_representatives_district_026
johnston_PR27B,728,nc_house_of_representatives_district_026
johnston_PR29A,1660,nc_house_of_representatives_district_026
johnston_PR32,894,nc_house_of_representatives_district_026
johnston_PR27A,534,nc_house_of_representatives_district_026
johnston_PR10A,682,nc_house_of_representatives_district_026
johnston_PR29B,2116,nc_house_of_representatives_district_026
johnston_PR20,901,nc_house_of_representatives_district_026
johnston_PR10B,737,nc_house_of_representatives_district_026
