prec_id,Jay Adams,election
catawba_30,1747,nc_house_of_representatives_district_096
catawba_33,3275,nc_house_of_representatives_district_096
catawba_11,447,nc_house_of_representatives_district_096
catawba_ABSENTEE,908,nc_house_of_representatives_district_096
catawba_29,1363,nc_house_of_representatives_district_096
catawba_8,1422,nc_house_of_representatives_district_096
catawba_37,1134,nc_house_of_representatives_district_096
catawba_CURBSIDE,165,nc_house_of_representatives_district_096
catawba_39,1375,nc_house_of_representatives_district_096
catawba_38,1597,nc_house_of_representatives_district_096
catawba_36,1177,nc_house_of_representatives_district_096
catawba_19,493,nc_house_of_representatives_district_096
catawba_14,762,nc_house_of_representatives_district_096
catawba_16,1046,nc_house_of_representatives_district_096
catawba_28,1538,nc_house_of_representatives_district_096
catawba_7,1371,nc_house_of_representatives_district_096
catawba_15,102,nc_house_of_representatives_district_096
catawba_17,696,nc_house_of_representatives_district_096
catawba_23,2247,nc_house_of_representatives_district_096
catawba_26,929,nc_house_of_representatives_district_096
catawba_24,2228,nc_house_of_representatives_district_096
catawba_13,490,nc_house_of_representatives_district_096
