prec_id,Joe Sam Queen,Mike Clampitt,election
haywood_WS-2,643,492,nc_house_of_representatives_district_119
haywood_ID,320,295,nc_house_of_representatives_district_119
jackson_GLV,347,738,nc_house_of_representatives_district_119
jackson_CFK,181,210,nc_house_of_representatives_district_119
jackson_SAV,335,458,nc_house_of_representatives_district_119
jackson_ABSENTEE,262,265,nc_house_of_representatives_district_119
jackson_SSW,993,776,nc_house_of_representatives_district_119
jackson_SND,975,772,nc_house_of_representatives_district_119
jackson_RIV,235,280,nc_house_of_representatives_district_119
jackson_CAN,110,192,nc_house_of_representatives_district_119
jackson_BCK,304,539,nc_house_of_representatives_district_119
jackson_CURBSIDE OS,68,37,nc_house_of_representatives_district_119
jackson_SCC,492,521,nc_house_of_representatives_district_119
jackson_QUA,902,913,nc_house_of_representatives_district_119
jackson_CURBSIDE ED,23,16,nc_house_of_representatives_district_119
jackson_GCK,324,375,nc_house_of_representatives_district_119
jackson_CUL,2197,1670,nc_house_of_representatives_district_119
jackson_WEB,766,553,nc_house_of_representatives_district_119
jackson_CAS,407,790,nc_house_of_representatives_district_119
haywood_SA,625,732,nc_house_of_representatives_district_119
haywood_WW,498,547,nc_house_of_representatives_district_119
haywood_WS-1,765,660,nc_house_of_representatives_district_119
haywood_CURBSIDE,110,54,nc_house_of_representatives_district_119
haywood_WE,572,484,nc_house_of_representatives_district_119
haywood_LJ,724,520,nc_house_of_representatives_district_119
haywood_ABSENTEE,219,169,nc_house_of_representatives_district_119
haywood_AC,637,721,nc_house_of_representatives_district_119
haywood_IH,163,183,nc_house_of_representatives_district_119
haywood_HA,302,293,nc_house_of_representatives_district_119
haywood_WC,257,157,nc_house_of_representatives_district_119
swain_WHCH,884,666,nc_house_of_representatives_district_119
swain_BC1,540,923,nc_house_of_representatives_district_119
swain_BC2,676,812,nc_house_of_representatives_district_119
swain_ALARKA,228,338,nc_house_of_representatives_district_119
swain_ALMOND,341,536,nc_house_of_representatives_district_119
