prec_id,Kelly Alexander,election
mecklenburg_CURBSIDE 21-40,142,nc_house_of_representatives_district_107
mecklenburg_128,1514,nc_house_of_representatives_district_107
mecklenburg_239,589,nc_house_of_representatives_district_107
mecklenburg_CURBSIDE 41-60,297,nc_house_of_representatives_district_107
mecklenburg_212,5438,nc_house_of_representatives_district_107
mecklenburg_214,1948,nc_house_of_representatives_district_107
mecklenburg_25,1345,nc_house_of_representatives_district_107
mecklenburg_54,1706,nc_house_of_representatives_district_107
mecklenburg_141,358,nc_house_of_representatives_district_107
mecklenburg_CURBSIDE 61-80,22,nc_house_of_representatives_district_107
mecklenburg_56,719,nc_house_of_representatives_district_107
mecklenburg_CURBSIDE 1-20,809,nc_house_of_representatives_district_107
mecklenburg_211,2349,nc_house_of_representatives_district_107
mecklenburg_210,3555,nc_house_of_representatives_district_107
mecklenburg_11,1204,nc_house_of_representatives_district_107
mecklenburg_14,434,nc_house_of_representatives_district_107
mecklenburg_CURBSIDE 81-96,79,nc_house_of_representatives_district_107
mecklenburg_238.1,1639,nc_house_of_representatives_district_107
mecklenburg_30,530,nc_house_of_representatives_district_107
mecklenburg_55,975,nc_house_of_representatives_district_107
mecklenburg_16,1907,nc_house_of_representatives_district_107
mecklenburg_237,2350,nc_house_of_representatives_district_107
mecklenburg_151,2410,nc_house_of_representatives_district_107
mecklenburg_27,735,nc_house_of_representatives_district_107
