prec_id,Bobi Gregory,Susan Martin,election
pitt_0200A,213,411,nc_house_of_representatives_district_008
pitt_101,388,439,nc_house_of_representatives_district_008
pitt_1403A2,138,124,nc_house_of_representatives_district_008
pitt_0200B,281,229,nc_house_of_representatives_district_008
pitt_1403B,207,223,nc_house_of_representatives_district_008
pitt_1512A,228,308,nc_house_of_representatives_district_008
pitt_1512B,248,222,nc_house_of_representatives_district_008
pitt_1403A1,214,455,nc_house_of_representatives_district_008
pitt_ONESTOP,2522,2601,nc_house_of_representatives_district_008
pitt_0800B,235,341,nc_house_of_representatives_district_008
pitt_0800A,256,362,nc_house_of_representatives_district_008
pitt_901,9,34,nc_house_of_representatives_district_008
wilson_CURBSIDE,96,61,nc_house_of_representatives_district_008
wilson_PRWA,0,0,nc_house_of_representatives_district_008
wilson_PRWH,124,2,nc_house_of_representatives_district_008
wilson_PRBL,252,871,nc_house_of_representatives_district_008
wilson_PRWN,2,0,nc_house_of_representatives_district_008
wilson_PRTO,706,930,nc_house_of_representatives_district_008
wilson_PRWD,227,617,nc_house_of_representatives_district_008
wilson_PRWL,446,807,nc_house_of_representatives_district_008
wilson_PRWJ,509,608,nc_house_of_representatives_district_008
wilson_PRST,289,281,nc_house_of_representatives_district_008
wilson_PRSP,283,628,nc_house_of_representatives_district_008
wilson_PRSA,29,59,nc_house_of_representatives_district_008
wilson_PRCR,275,707,nc_house_of_representatives_district_008
wilson_PROL,408,1303,nc_house_of_representatives_district_008
wilson_PRWP,277,683,nc_house_of_representatives_district_008
wilson_PRWK,267,687,nc_house_of_representatives_district_008
wilson_PRWM,612,996,nc_house_of_representatives_district_008
wilson_PRTA,971,1690,nc_house_of_representatives_district_008
