prec_id,Mary Jane Boyd,Ralph Hise,election
mcdowell_NEBO,610,1292,nc_state_senate_district_47
mcdowell_N.COVE,148,398,nc_state_senate_district_47
mcdowell_FORT 2,218,486,nc_state_senate_district_47
mcdowell_CCREEK,563,1203,nc_state_senate_district_47
mcdowell_DYSART,377,1025,nc_state_senate_district_47
mcdowell_43894,218,363,nc_state_senate_district_47
mcdowell_WEST M,706,1475,nc_state_senate_district_47
mcdowell_GLENWD,326,803,nc_state_senate_district_47
mcdowell_43891,674,1166,nc_state_senate_district_47
mcdowell_PLEASA,523,1020,nc_state_senate_district_47
mcdowell_T.COVE,122,407,nc_state_senate_district_47
mcdowell_M.COVE,275,824,nc_state_senate_district_47
mcdowell_43893,206,334,nc_state_senate_district_47
mcdowell_43892,552,416,nc_state_senate_district_47
mcdowell_43895,201,347,nc_state_senate_district_47
mcdowell_HIGGIN,236,553,nc_state_senate_district_47
mcdowell_FORT 1,314,580,nc_state_senate_district_47
madison_GRAPEV,291,420,nc_state_senate_district_47
madison_LAUREL,229,345,nc_state_senate_district_47
madison_BEECH,618,1098,nc_state_senate_district_47
madison_MARS H,1166,1335,nc_state_senate_district_47
madison_EBBS C,255,430,nc_state_senate_district_47
madison_SANDY,154,190,nc_state_senate_district_47
madison_REVERE,126,59,nc_state_senate_district_47
madison_HOT SP,252,268,nc_state_senate_district_47
madison_NORTH,688,822,nc_state_senate_district_47
madison_SPRING,253,255,nc_state_senate_district_47
madison_WALNUT,366,455,nc_state_senate_district_47
madison_SOUTH,324,318,nc_state_senate_district_47
mitchell_9,343,589,nc_state_senate_district_47
mitchell_6,89,302,nc_state_senate_district_47
mitchell_3,112,288,nc_state_senate_district_47
mitchell_7,24,115,nc_state_senate_district_47
mitchell_4,1290,2761,nc_state_senate_district_47
mitchell_1,275,608,nc_state_senate_district_47
mitchell_2,25,182,nc_state_senate_district_47
mitchell_8,51,157,nc_state_senate_district_47
mitchell_5,102,368,nc_state_senate_district_47
rutherford_13,1204,1385,nc_state_senate_district_47
rutherford_05A,480,1180,nc_state_senate_district_47
rutherford_18,423,987,nc_state_senate_district_47
rutherford_OS-BOE PAPER,0,0,nc_state_senate_district_47
rutherford_CURBSIDE,0,0,nc_state_senate_district_47
rutherford_30,990,1167,nc_state_senate_district_47
rutherford_11,850,2709,nc_state_senate_district_47
rutherford_29,391,862,nc_state_senate_district_47
rutherford_OS-ELLENBORO PAPER,0,0,nc_state_senate_district_47
rutherford_06A,622,977,nc_state_senate_district_47
rutherford_34,196,756,nc_state_senate_district_47
rutherford_16A,392,1359,nc_state_senate_district_47
rutherford_OS-ANNEX PAPER,0,0,nc_state_senate_district_47
rutherford_03A,225,1202,nc_state_senate_district_47
rutherford_09A,467,1788,nc_state_senate_district_47
rutherford_04A,351,1120,nc_state_senate_district_47
rutherford_28,325,729,nc_state_senate_district_47
rutherford_27,806,1505,nc_state_senate_district_47
rutherford_10A,151,671,nc_state_senate_district_47
rutherford_ABSENTEE,0,0,nc_state_senate_district_47
rutherford_19,304,900,nc_state_senate_district_47
rutherford_14,616,858,nc_state_senate_district_47
polk_CURBSIDE,75,72,nc_state_senate_district_47
polk_SA04,409,607,nc_state_senate_district_47
polk_GC09,600,1092,nc_state_senate_district_47
polk_CG05,206,738,nc_state_senate_district_47
polk_CL08,569,996,nc_state_senate_district_47
polk_CL07,567,911,nc_state_senate_district_47
polk_ABSENTEE,227,316,nc_state_senate_district_47
polk_WO06,359,705,nc_state_senate_district_47
polk_TR123,1021,880,nc_state_senate_district_47
yancey_07 BRU,117,144,nc_state_senate_district_47
yancey_09 SOU,669,694,nc_state_senate_district_47
yancey_08 CRA,717,1098,nc_state_senate_district_47
yancey_02 CAN,347,591,nc_state_senate_district_47
yancey_11 PRI,293,566,nc_state_senate_district_47
yancey_03 EGY,147,182,nc_state_senate_district_47
yancey_04 RAM,73,142,nc_state_senate_district_47
yancey_05 GRE,144,166,nc_state_senate_district_47
yancey_01 BUR,1114,1139,nc_state_senate_district_47
yancey_10 PEN,154,216,nc_state_senate_district_47
yancey_06 JAC,460,538,nc_state_senate_district_47
