prec_id,Jane Hipps,Jim Davis,election
cherokee_PCHT,408,1029,nc_state_senate_district_50
cherokee_GCRK,58,253,nc_state_senate_district_50
cherokee_HOTH,199,669,nc_state_senate_district_50
cherokee_ANSW,273,761,nc_state_senate_district_50
cherokee_MURN,433,854,nc_state_senate_district_50
cherokee_MARB,213,694,nc_state_senate_district_50
cherokee_ANNW,274,688,nc_state_senate_district_50
cherokee_HANG,94,427,nc_state_senate_district_50
cherokee_RGER,313,762,nc_state_senate_district_50
cherokee_HIWA,278,935,nc_state_senate_district_50
cherokee_CSON,145,457,nc_state_senate_district_50
cherokee_UNKA,86,282,nc_state_senate_district_50
cherokee_TOPT,56,236,nc_state_senate_district_50
cherokee_BRAS,177,413,nc_state_senate_district_50
cherokee_BELL,225,590,nc_state_senate_district_50
cherokee_MURS,375,1006,nc_state_senate_district_50
clay_WARN,146,338,nc_state_senate_district_50
clay_SWEE,144,328,nc_state_senate_district_50
clay_HAYC,87,193,nc_state_senate_district_50
clay_HAY2,331,603,nc_state_senate_district_50
clay_TUSQ,138,321,nc_state_senate_district_50
clay_BRAS,186,407,nc_state_senate_district_50
clay_SHCR,176,612,nc_state_senate_district_50
clay_HAY1,257,555,nc_state_senate_district_50
clay_HIAW,253,671,nc_state_senate_district_50
graham_STEC,174,571,nc_state_senate_district_50
graham_EAST,405,1147,nc_state_senate_district_50
graham_WEST,288,1001,nc_state_senate_district_50
graham_TAPO,47,257,nc_state_senate_district_50
haywood_WS-2,573,559,nc_state_senate_district_50
haywood_ID,288,326,nc_state_senate_district_50
haywood_BE-1,257,502,nc_state_senate_district_50
haywood_CL-S,643,920,nc_state_senate_district_50
jackson_GLV,304,780,nc_state_senate_district_50
jackson_CFK,152,234,nc_state_senate_district_50
jackson_SAV,302,491,nc_state_senate_district_50
jackson_ABSENTEE,248,277,nc_state_senate_district_50
jackson_SSW,931,842,nc_state_senate_district_50
jackson_SND,912,840,nc_state_senate_district_50
jackson_RIV,205,307,nc_state_senate_district_50
jackson_CAN,96,208,nc_state_senate_district_50
jackson_BCK,279,566,nc_state_senate_district_50
jackson_CURBSIDE OS,59,44,nc_state_senate_district_50
jackson_SCC,424,588,nc_state_senate_district_50
jackson_QUA,850,959,nc_state_senate_district_50
jackson_CURBSIDE ED,20,19,nc_state_senate_district_50
jackson_GCK,306,395,nc_state_senate_district_50
jackson_CUL,2171,1724,nc_state_senate_district_50
jackson_WEB,683,641,nc_state_senate_district_50
jackson_CAS,366,833,nc_state_senate_district_50
haywood_SA,585,772,nc_state_senate_district_50
haywood_PC,209,533,nc_state_senate_district_50
haywood_WW,454,585,nc_state_senate_district_50
haywood_WS-1,697,723,nc_state_senate_district_50
haywood_P,535,1214,nc_state_senate_district_50
haywood_BE-7,227,575,nc_state_senate_district_50
haywood_BE-2,285,442,nc_state_senate_district_50
haywood_BC,8,9,nc_state_senate_district_50
haywood_FC-1,164,290,nc_state_senate_district_50
haywood_EF,221,552,nc_state_senate_district_50
haywood_CE,46,236,nc_state_senate_district_50
haywood_BE-4,366,726,nc_state_senate_district_50
haywood_CL-N,547,803,nc_state_senate_district_50
haywood_CURBSIDE,223,173,nc_state_senate_district_50
haywood_WE,499,552,nc_state_senate_district_50
haywood_WO,87,98,nc_state_senate_district_50
haywood_LJ,663,586,nc_state_senate_district_50
haywood_ABSENTEE,458,546,nc_state_senate_district_50
haywood_AC,548,799,nc_state_senate_district_50
haywood_JC,743,1218,nc_state_senate_district_50
haywood_IH,885,1453,nc_state_senate_district_50
haywood_FC-2,36,71,nc_state_senate_district_50
haywood_CR,449,589,nc_state_senate_district_50
haywood_BE-3,412,789,nc_state_senate_district_50
haywood_BE56,508,630,nc_state_senate_district_50
haywood_HA,258,335,nc_state_senate_district_50
haywood_WC,255,162,nc_state_senate_district_50
macon_11,177,456,nc_state_senate_district_50
macon_8,33,114,nc_state_senate_district_50
macon_2,68,117,nc_state_senate_district_50
macon_5,144,312,nc_state_senate_district_50
macon_10,45,132,nc_state_senate_district_50
macon_ABSENTEE,332,518,nc_state_senate_district_50
macon_13,46,248,nc_state_senate_district_50
macon_3,134,242,nc_state_senate_district_50
macon_9,135,296,nc_state_senate_district_50
macon_6,144,273,nc_state_senate_district_50
macon_OSBOE,3676,5967,nc_state_senate_district_50
macon_4,123,231,nc_state_senate_district_50
macon_1,124,194,nc_state_senate_district_50
macon_14,70,173,nc_state_senate_district_50
macon_15,171,348,nc_state_senate_district_50
macon_12,159,300,nc_state_senate_district_50
macon_OSHOS,466,680,nc_state_senate_district_50
macon_7,131,285,nc_state_senate_district_50
swain_WHCH,827,719,nc_state_senate_district_50
swain_BC1,532,925,nc_state_senate_district_50
swain_BC2,646,808,nc_state_senate_district_50
swain_ALARKA,207,355,nc_state_senate_district_50
swain_ALMOND,316,555,nc_state_senate_district_50
