prec_id,Philip E. (Phil) Berger,election
guilford_SF4,2021,nc_state_senate_district_26
guilford_SF3,1516,nc_state_senate_district_26
guilford_NMAD,102,nc_state_senate_district_26
guilford_G29,685,nc_state_senate_district_26
guilford_G27,1398,nc_state_senate_district_26
guilford_G40A2,521,nc_state_senate_district_26
guilford_G22,887,nc_state_senate_district_26
guilford_G40B,680,nc_state_senate_district_26
guilford_SF1,1862,nc_state_senate_district_26
guilford_G23,562,nc_state_senate_district_26
guilford_G25,782,nc_state_senate_district_26
guilford_G28,479,nc_state_senate_district_26
guilford_G19,675,nc_state_senate_district_26
guilford_G31,685,nc_state_senate_district_26
guilford_CG1,1073,nc_state_senate_district_26
guilford_ABS/CURB/PROV 4,86,nc_state_senate_district_26
guilford_OR2,1510,nc_state_senate_district_26
guilford_NCGR2,1306,nc_state_senate_district_26
guilford_G30,869,nc_state_senate_district_26
guilford_G32,1152,nc_state_senate_district_26
guilford_OR1,2179,nc_state_senate_district_26
guilford_MON3,2297,nc_state_senate_district_26
guilford_NCGR1,1796,nc_state_senate_district_26
guilford_CG3A,842,nc_state_senate_district_26
guilford_CG3B,1098,nc_state_senate_district_26
guilford_MON2A,213,nc_state_senate_district_26
guilford_G21,1371,nc_state_senate_district_26
guilford_G24,443,nc_state_senate_district_26
guilford_G40A1,785,nc_state_senate_district_26
guilford_G26,592,nc_state_senate_district_26
guilford_ABS/PROV/CURB 1,129,nc_state_senate_district_26
guilford_G18,681,nc_state_senate_district_26
guilford_CG2,977,nc_state_senate_district_26
guilford_SF2,987,nc_state_senate_district_26
guilford_STOK,2332,nc_state_senate_district_26
guilford_ABS/PROV/CURB 2,100,nc_state_senate_district_26
guilford_FR3,788,nc_state_senate_district_26
guilford_NDRI,1540,nc_state_senate_district_26
guilford_G20,1081,nc_state_senate_district_26
rockingham_NB,1955,nc_state_senate_district_26
rockingham_IR,1405,nc_state_senate_district_26
rockingham_LK-2,1593,nc_state_senate_district_26
rockingham_MA,1928,nc_state_senate_district_26
rockingham_RC,2501,nc_state_senate_district_26
rockingham_LI,1969,nc_state_senate_district_26
rockingham_ED-1,1841,nc_state_senate_district_26
rockingham_EC,1773,nc_state_senate_district_26
rockingham_DR,993,nc_state_senate_district_26
rockingham_MC,1899,nc_state_senate_district_26
rockingham_WS,3051,nc_state_senate_district_26
rockingham_MS,2850,nc_state_senate_district_26
rockingham_SE,1794,nc_state_senate_district_26
rockingham_HU,2307,nc_state_senate_district_26
rockingham_HO,967,nc_state_senate_district_26
