prec_id,"Ted Davis, Jr.",election
new hanover_ONESTOP,0,nc_house_of_representatives_district_019
new hanover_M02,2279,nc_house_of_representatives_district_019
new hanover_M07,661,nc_house_of_representatives_district_019
new hanover_M04,2090,nc_house_of_representatives_district_019
new hanover_H03,1745,nc_house_of_representatives_district_019
new hanover_FP04,1368,nc_house_of_representatives_district_019
new hanover_FP05,707,nc_house_of_representatives_district_019
new hanover_FP03,635,nc_house_of_representatives_district_019
new hanover_W30,1064,nc_house_of_representatives_district_019
new hanover_WB,831,nc_house_of_representatives_district_019
new hanover_W21,1070,nc_house_of_representatives_district_019
new hanover_FP07,1503,nc_house_of_representatives_district_019
new hanover_FP02,815,nc_house_of_representatives_district_019
new hanover_M06,1084,nc_house_of_representatives_district_019
new hanover_M03,1071,nc_house_of_representatives_district_019
new hanover_FP06,1051,nc_house_of_representatives_district_019
new hanover_W26,493,nc_house_of_representatives_district_019
