prec_id,Philip E. (Phil) Berger,William Osborne,election
guilford_NMAD,64,16,nc_state_senate_district_26
guilford_CURBSIDE,61,57,nc_state_senate_district_26
guilford_MON2A,142,122,nc_state_senate_district_26
guilford_G26,299,374,nc_state_senate_district_26
guilford_CG3B,750,577,nc_state_senate_district_26
guilford_FR3,457,355,nc_state_senate_district_26
guilford_G20,723,602,nc_state_senate_district_26
guilford_G27,867,801,nc_state_senate_district_26
guilford_G29,291,426,nc_state_senate_district_26
guilford_G40A2,300,346,nc_state_senate_district_26
guilford_G22,678,446,nc_state_senate_district_26
guilford_G31,412,418,nc_state_senate_district_26
guilford_G19,457,393,nc_state_senate_district_26
guilford_NDRI,924,197,nc_state_senate_district_26
guilford_OR1,1371,496,nc_state_senate_district_26
guilford_MON3,1336,717,nc_state_senate_district_26
guilford_NCGR1,1150,530,nc_state_senate_district_26
guilford_NCGR2,767,302,nc_state_senate_district_26
guilford_SF2,668,232,nc_state_senate_district_26
guilford_CG1,550,608,nc_state_senate_district_26
guilford_G28,258,351,nc_state_senate_district_26
guilford_G23,324,390,nc_state_senate_district_26
guilford_G25,396,503,nc_state_senate_district_26
guilford_G40B,448,320,nc_state_senate_district_26
guilford_CG3A,537,486,nc_state_senate_district_26
guilford_G40A1,448,436,nc_state_senate_district_26
guilford_SF3,856,587,nc_state_senate_district_26
guilford_SF4,1320,658,nc_state_senate_district_26
guilford_STOK,1379,475,nc_state_senate_district_26
guilford_G30,585,421,nc_state_senate_district_26
guilford_G32,843,768,nc_state_senate_district_26
guilford_G21,876,843,nc_state_senate_district_26
guilford_G24,184,385,nc_state_senate_district_26
guilford_SF1,1194,469,nc_state_senate_district_26
guilford_OR2,942,347,nc_state_senate_district_26
guilford_CG2,605,496,nc_state_senate_district_26
guilford_G18,514,339,nc_state_senate_district_26
rockingham_MC,1176,1102,nc_state_senate_district_26
rockingham_NB,1186,439,nc_state_senate_district_26
rockingham_MA,1043,720,nc_state_senate_district_26
rockingham_HO,529,316,nc_state_senate_district_26
rockingham_WS,1687,1166,nc_state_senate_district_26
rockingham_MS,1464,1993,nc_state_senate_district_26
rockingham_IR,852,346,nc_state_senate_district_26
rockingham_LI,1104,684,nc_state_senate_district_26
rockingham_LK-2,950,726,nc_state_senate_district_26
rockingham_RC,1539,883,nc_state_senate_district_26
rockingham_HU,1243,453,nc_state_senate_district_26
rockingham_ED-1,1009,710,nc_state_senate_district_26
rockingham_EC,1104,779,nc_state_senate_district_26
rockingham_DR,553,367,nc_state_senate_district_26
rockingham_SE,937,872,nc_state_senate_district_26
