prec_id,Earle Schecter,Larry G. Pittman,election
cabarrus_44175,142,309,nc_house_of_representatives_district_082
cabarrus_44177,248,467,nc_house_of_representatives_district_082
cabarrus_43837,208,543,nc_house_of_representatives_district_082
cabarrus_43834,496,754,nc_house_of_representatives_district_082
cabarrus_43870,547,755,nc_house_of_representatives_district_082
cabarrus_OS-CBB,260,522,nc_house_of_representatives_district_082
cabarrus_36586,308,823,nc_house_of_representatives_district_082
cabarrus_44173,190,230,nc_house_of_representatives_district_082
cabarrus_44172,411,41,nc_house_of_representatives_district_082
cabarrus_OS-CFS,3233,4754,nc_house_of_representatives_district_082
cabarrus_43836,306,476,nc_house_of_representatives_district_082
cabarrus_OS-LOB,3999,3532,nc_house_of_representatives_district_082
cabarrus_43863,452,797,nc_house_of_representatives_district_082
cabarrus_43840,274,538,nc_house_of_representatives_district_082
cabarrus_OS-HBL,3206,3954,nc_house_of_representatives_district_082
cabarrus_44174,241,515,nc_house_of_representatives_district_082
cabarrus_43839,72,248,nc_house_of_representatives_district_082
cabarrus_43869,602,1001,nc_house_of_representatives_district_082
cabarrus_43868,231,513,nc_house_of_representatives_district_082
cabarrus_44171,260,325,nc_house_of_representatives_district_082
cabarrus_43864,475,1040,nc_house_of_representatives_district_082
cabarrus_ABSENTEE,793,1277,nc_house_of_representatives_district_082
cabarrus_43838,390,720,nc_house_of_representatives_district_082
cabarrus_44167,318,203,nc_house_of_representatives_district_082
cabarrus_44166,115,98,nc_house_of_representatives_district_082
