prec_id,"Edward (Ed) Hanes, Jr.",election
forsyth_901,710,nc_house_of_representatives_district_072
forsyth_31,150,nc_house_of_representatives_district_072
forsyth_33,616,nc_house_of_representatives_district_072
forsyth_101,227,nc_house_of_representatives_district_072
forsyth_909,444,nc_house_of_representatives_district_072
forsyth_803,639,nc_house_of_representatives_district_072
forsyth_82,715,nc_house_of_representatives_district_072
forsyth_903,856,nc_house_of_representatives_district_072
forsyth_801,471,nc_house_of_representatives_district_072
forsyth_905,587,nc_house_of_representatives_district_072
forsyth_802,596,nc_house_of_representatives_district_072
forsyth_907,680,nc_house_of_representatives_district_072
forsyth_81,626,nc_house_of_representatives_district_072
forsyth_908,915,nc_house_of_representatives_district_072
forsyth_201,1217,nc_house_of_representatives_district_072
forsyth_203,580,nc_house_of_representatives_district_072
forsyth_206,670,nc_house_of_representatives_district_072
forsyth_904,731,nc_house_of_representatives_district_072
forsyth_302,427,nc_house_of_representatives_district_072
forsyth_304,944,nc_house_of_representatives_district_072
forsyth_402,554,nc_house_of_representatives_district_072
forsyth_204,555,nc_house_of_representatives_district_072
forsyth_83,443,nc_house_of_representatives_district_072
forsyth_403,116,nc_house_of_representatives_district_072
forsyth_301,345,nc_house_of_representatives_district_072
forsyth_303,273,nc_house_of_representatives_district_072
forsyth_306,465,nc_house_of_representatives_district_072
forsyth_205,322,nc_house_of_representatives_district_072
forsyth_207,714,nc_house_of_representatives_district_072
forsyth_305,686,nc_house_of_representatives_district_072
