prec_id,Larry M. Bell,election
duplin_ROSE,389,nc_house_of_representatives_district_021
duplin_CHAR,2,nc_house_of_representatives_district_021
duplin_WALL,243,nc_house_of_representatives_district_021
duplin_ROCK,220,nc_house_of_representatives_district_021
duplin_KENA,214,nc_house_of_representatives_district_021
duplin_WARS,655,nc_house_of_representatives_district_021
duplin_MAGN,250,nc_house_of_representatives_district_021
duplin_FAIS,64,nc_house_of_representatives_district_021
duplin_ONESTOP,1139,nc_house_of_representatives_district_021
sampson_CLWE,49,nc_house_of_representatives_district_021
sampson_GIDD,91,nc_house_of_representatives_district_021
sampson_ONESTOP,1176,nc_house_of_representatives_district_021
sampson_INGO,41,nc_house_of_representatives_district_021
sampson_TURK,301,nc_house_of_representatives_district_021
sampson_CLNE,60,nc_house_of_representatives_district_021
sampson_ROWA,2,nc_house_of_representatives_district_021
sampson_HARR,463,nc_house_of_representatives_district_021
sampson_CLSW,31,nc_house_of_representatives_district_021
sampson_CLCE,212,nc_house_of_representatives_district_021
sampson_CLEA,447,nc_house_of_representatives_district_021
wayne_22,247,nc_house_of_representatives_district_021
wayne_ONESTOP,5186,nc_house_of_representatives_district_021
wayne_30,320,nc_house_of_representatives_district_021
wayne_21,286,nc_house_of_representatives_district_021
wayne_16,125,nc_house_of_representatives_district_021
wayne_19,268,nc_house_of_representatives_district_021
wayne_11,250,nc_house_of_representatives_district_021
wayne_26,304,nc_house_of_representatives_district_021
wayne_9,3,nc_house_of_representatives_district_021
wayne_10,276,nc_house_of_representatives_district_021
wayne_24,9,nc_house_of_representatives_district_021
wayne_6,62,nc_house_of_representatives_district_021
wayne_23,23,nc_house_of_representatives_district_021
wayne_17,198,nc_house_of_representatives_district_021
wayne_28,226,nc_house_of_representatives_district_021
wayne_25,119,nc_house_of_representatives_district_021
wayne_7,49,nc_house_of_representatives_district_021
wayne_12,232,nc_house_of_representatives_district_021
wayne_13,315,nc_house_of_representatives_district_021
wayne_18,219,nc_house_of_representatives_district_021
wayne_27,315,nc_house_of_representatives_district_021
wayne_20,339,nc_house_of_representatives_district_021
wayne_29,281,nc_house_of_representatives_district_021
