prec_id,Mary Belk,Rob Bryan,election
mecklenburg_CURBSIDE 21-40,68,25,nc_house_of_representatives_district_088
mecklenburg_18,456,784,nc_house_of_representatives_district_088
mecklenburg_50,798,475,nc_house_of_representatives_district_088
mecklenburg_88,897,750,nc_house_of_representatives_district_088
mecklenburg_20,928,749,nc_house_of_representatives_district_088
mecklenburg_58,815,672,nc_house_of_representatives_district_088
mecklenburg_101,778,894,nc_house_of_representatives_district_088
mecklenburg_49,825,789,nc_house_of_representatives_district_088
mecklenburg_1,234,289,nc_house_of_representatives_district_088
mecklenburg_92,932,1093,nc_house_of_representatives_district_088
mecklenburg_226,979,946,nc_house_of_representatives_district_088
mecklenburg_75,890,1270,nc_house_of_representatives_district_088
mecklenburg_51,1111,784,nc_house_of_representatives_district_088
mecklenburg_59,583,340,nc_house_of_representatives_district_088
mecklenburg_8,735,969,nc_house_of_representatives_district_088
mecklenburg_CURBSIDE 1-20,74,80,nc_house_of_representatives_district_088
mecklenburg_86,267,506,nc_house_of_representatives_district_088
mecklenburg_87,523,460,nc_house_of_representatives_district_088
mecklenburg_9,979,670,nc_house_of_representatives_district_088
mecklenburg_CURBSIDE 81-96,0,0,nc_house_of_representatives_district_088
mecklenburg_38,889,480,nc_house_of_representatives_district_088
mecklenburg_21,920,494,nc_house_of_representatives_district_088
mecklenburg_76,988,1062,nc_house_of_representatives_district_088
mecklenburg_93,541,772,nc_house_of_representatives_district_088
mecklenburg_37,786,672,nc_house_of_representatives_district_088
mecklenburg_32,526,932,nc_house_of_representatives_district_088
mecklenburg_57,649,735,nc_house_of_representatives_district_088
mecklenburg_10,1078,770,nc_house_of_representatives_district_088
mecklenburg_120,19,16,nc_house_of_representatives_district_088
mecklenburg_19,546,716,nc_house_of_representatives_district_088
mecklenburg_47,329,373,nc_house_of_representatives_district_088
