prec_id,Susan C. Fisher,election
buncombe_7.1,393,nc_house_of_representatives_district_114
buncombe_OS ABTC,391,nc_house_of_representatives_district_114
buncombe_57.1,28,nc_house_of_representatives_district_114
buncombe_22.2,222,nc_house_of_representatives_district_114
buncombe_62.1,0,nc_house_of_representatives_district_114
buncombe_14.3,279,nc_house_of_representatives_district_114
buncombe_OS LCBL,129,nc_house_of_representatives_district_114
buncombe_OS PCBC,13,nc_house_of_representatives_district_114
buncombe_OS BTFD,775,nc_house_of_representatives_district_114
buncombe_68.1,0,nc_house_of_representatives_district_114
buncombe_8.3,408,nc_house_of_representatives_district_114
buncombe_14.2,364,nc_house_of_representatives_district_114
buncombe_8.2,381,nc_house_of_representatives_district_114
buncombe_17.1,245,nc_house_of_representatives_district_114
buncombe_OS WOCO,402,nc_house_of_representatives_district_114
buncombe_OS WABL,6358,nc_house_of_representatives_district_114
buncombe_64.1,81,nc_house_of_representatives_district_114
buncombe_OS UNCA,2327,nc_house_of_representatives_district_114
buncombe_24.1,214,nc_house_of_representatives_district_114
buncombe_9.1,497,nc_house_of_representatives_district_114
buncombe_OS BMBL,232,nc_house_of_representatives_district_114
buncombe_60.2,15,nc_house_of_representatives_district_114
buncombe_26.1,283,nc_house_of_representatives_district_114
buncombe_15.1,344,nc_house_of_representatives_district_114
buncombe_OS SBBL,915,nc_house_of_representatives_district_114
buncombe_OS WVTH,115,nc_house_of_representatives_district_114
buncombe_OS ECBL,354,nc_house_of_representatives_district_114
buncombe_OS ACCC,67,nc_house_of_representatives_district_114
buncombe_3.1,416,nc_house_of_representatives_district_114
buncombe_42.1,351,nc_house_of_representatives_district_114
buncombe_OS PACK,1951,nc_house_of_representatives_district_114
buncombe_OS AVML,3345,nc_house_of_representatives_district_114
buncombe_66.1,214,nc_house_of_representatives_district_114
buncombe_23.2,64,nc_house_of_representatives_district_114
buncombe_4.1,231,nc_house_of_representatives_district_114
buncombe_5.1,184,nc_house_of_representatives_district_114
buncombe_1.1,326,nc_house_of_representatives_district_114
buncombe_6.1,227,nc_house_of_representatives_district_114
buncombe_2.1,435,nc_house_of_representatives_district_114
buncombe_OS MORC,1428,nc_house_of_representatives_district_114
buncombe_20.1,148,nc_house_of_representatives_district_114
buncombe_60.4,107,nc_house_of_representatives_district_114
buncombe_16.2,404,nc_house_of_representatives_district_114
buncombe_12.1,417,nc_house_of_representatives_district_114
buncombe_28.1,289,nc_house_of_representatives_district_114
buncombe_29.2,123,nc_house_of_representatives_district_114
buncombe_OS WGSC,2067,nc_house_of_representatives_district_114
buncombe_70.1,257,nc_house_of_representatives_district_114
buncombe_ABSENTEE,0,nc_house_of_representatives_district_114
buncombe_OS FVBL,347,nc_house_of_representatives_district_114
buncombe_OS FCAM,2358,nc_house_of_representatives_district_114
buncombe_OS NHPC,1437,nc_house_of_representatives_district_114
buncombe_23.3,151,nc_house_of_representatives_district_114
buncombe_19.1,153,nc_house_of_representatives_district_114
buncombe_13.1,429,nc_house_of_representatives_district_114
buncombe_21.1,429,nc_house_of_representatives_district_114
buncombe_11.1,263,nc_house_of_representatives_district_114
buncombe_25.1,0,nc_house_of_representatives_district_114
buncombe_OS NABL,4151,nc_house_of_representatives_district_114
buncombe_27.2,93,nc_house_of_representatives_district_114
buncombe_43.2,315,nc_house_of_representatives_district_114
buncombe_10.1,301,nc_house_of_representatives_district_114
