prec_id,Sarah Stevens,Vera Smith Reynolds,election
surry_15,728,332,nc_house_of_representatives_district_090
surry_12,773,452,nc_house_of_representatives_district_090
surry_17,542,172,nc_house_of_representatives_district_090
surry_24,443,103,nc_house_of_representatives_district_090
surry_28,667,176,nc_house_of_representatives_district_090
surry_25,854,303,nc_house_of_representatives_district_090
surry_ABSENTEE,1101,366,nc_house_of_representatives_district_090
surry_4,935,360,nc_house_of_representatives_district_090
surry_7,440,256,nc_house_of_representatives_district_090
surry_27,762,213,nc_house_of_representatives_district_090
surry_14,734,353,nc_house_of_representatives_district_090
surry_16,644,230,nc_house_of_representatives_district_090
surry_19,964,437,nc_house_of_representatives_district_090
surry_20,424,221,nc_house_of_representatives_district_090
surry_1,958,258,nc_house_of_representatives_district_090
surry_2,232,156,nc_house_of_representatives_district_090
surry_5,1301,252,nc_house_of_representatives_district_090
surry_8,841,263,nc_house_of_representatives_district_090
surry_22,590,178,nc_house_of_representatives_district_090
surry_11,559,226,nc_house_of_representatives_district_090
surry_33,555,284,nc_house_of_representatives_district_090
surry_13,514,324,nc_house_of_representatives_district_090
surry_18,1001,318,nc_house_of_representatives_district_090
surry_21,1041,303,nc_house_of_representatives_district_090
surry_CURBSIDE,289,137,nc_house_of_representatives_district_090
surry_10,589,135,nc_house_of_representatives_district_090
surry_3,1049,410,nc_house_of_representatives_district_090
surry_9,616,216,nc_house_of_representatives_district_090
surry_6,512,334,nc_house_of_representatives_district_090
surry_26,1198,411,nc_house_of_representatives_district_090
surry_23,670,213,nc_house_of_representatives_district_090
wilkes_OS MULBERRY,0,0,nc_house_of_representatives_district_090
wilkes_107,181,29,nc_house_of_representatives_district_090
wilkes_OS PLEASANT HILL,309,67,nc_house_of_representatives_district_090
wilkes_OS MILLER CRK,2,0,nc_house_of_representatives_district_090
wilkes_124,433,96,nc_house_of_representatives_district_090
wilkes_ABSENTEE,33,13,nc_house_of_representatives_district_090
wilkes_OS OFFICE,62,11,nc_house_of_representatives_district_090
wilkes_OS MTN VIEW,3,0,nc_house_of_representatives_district_090
