prec_id,Josh Brannon,Virginia Foxx,election
forsyth_506,574,397,us_house_of_representatives_district_5
forsyth_607,930,565,us_house_of_representatives_district_5
forsyth_904,1046,337,us_house_of_representatives_district_5
forsyth_907,743,474,us_house_of_representatives_district_5
forsyth_902,882,261,us_house_of_representatives_district_5
forsyth_52,341,524,us_house_of_representatives_district_5
forsyth_603,1016,280,us_house_of_representatives_district_5
forsyth_66,450,958,us_house_of_representatives_district_5
forsyth_203,920,56,us_house_of_representatives_district_5
forsyth_808,1333,698,us_house_of_representatives_district_5
forsyth_ABS/PROV/CURB 3,3545,1880,us_house_of_representatives_district_5
forsyth_606,708,360,us_house_of_representatives_district_5
forsyth_708,1420,1117,us_house_of_representatives_district_5
forsyth_61,529,756,us_house_of_representatives_district_5
forsyth_81,1306,755,us_house_of_representatives_district_5
forsyth_201,1958,384,us_house_of_representatives_district_5
forsyth_206,882,127,us_house_of_representatives_district_5
forsyth_12,431,1228,us_house_of_representatives_district_5
forsyth_15,424,847,us_house_of_representatives_district_5
forsyth_64,313,456,us_house_of_representatives_district_5
forsyth_55,855,1455,us_house_of_representatives_district_5
forsyth_301,551,20,us_house_of_representatives_district_5
forsyth_505,833,209,us_house_of_representatives_district_5
forsyth_504,607,127,us_house_of_representatives_district_5
forsyth_404,1166,242,us_house_of_representatives_district_5
forsyth_704,789,416,us_house_of_representatives_district_5
forsyth_703,542,301,us_house_of_representatives_district_5
forsyth_903,1283,791,us_house_of_representatives_district_5
forsyth_905,902,383,us_house_of_representatives_district_5
forsyth_303,426,24,us_house_of_representatives_district_5
forsyth_306,801,137,us_house_of_representatives_district_5
forsyth_54,675,1152,us_house_of_representatives_district_5
forsyth_13,1037,1565,us_house_of_representatives_district_5
forsyth_92,326,854,us_house_of_representatives_district_5
forsyth_75,151,336,us_house_of_representatives_district_5
forsyth_112,646,1269,us_house_of_representatives_district_5
forsyth_ABS/PROV/CURB 1,1735,3621,us_house_of_representatives_district_5
forsyth_42,1050,980,us_house_of_representatives_district_5
forsyth_82,1668,1279,us_house_of_representatives_district_5
forsyth_62,467,931,us_house_of_representatives_district_5
surry_15,306,772,us_house_of_representatives_district_5
surry_12,445,796,us_house_of_representatives_district_5
surry_17,176,542,us_house_of_representatives_district_5
surry_24,123,425,us_house_of_representatives_district_5
surry_28,218,644,us_house_of_representatives_district_5
surry_25,297,872,us_house_of_representatives_district_5
surry_ABSENTEE,375,1115,us_house_of_representatives_district_5
surry_4,403,914,us_house_of_representatives_district_5
surry_7,262,449,us_house_of_representatives_district_5
surry_27,209,770,us_house_of_representatives_district_5
surry_14,335,758,us_house_of_representatives_district_5
surry_16,221,653,us_house_of_representatives_district_5
surry_19,415,994,us_house_of_representatives_district_5
surry_20,229,429,us_house_of_representatives_district_5
surry_1,295,952,us_house_of_representatives_district_5
surry_2,162,231,us_house_of_representatives_district_5
surry_5,257,1323,us_house_of_representatives_district_5
surry_8,280,852,us_house_of_representatives_district_5
surry_22,197,571,us_house_of_representatives_district_5
surry_11,235,567,us_house_of_representatives_district_5
surry_33,273,577,us_house_of_representatives_district_5
surry_13,317,524,us_house_of_representatives_district_5
surry_18,317,1029,us_house_of_representatives_district_5
surry_21,336,1032,us_house_of_representatives_district_5
surry_CURBSIDE,146,289,us_house_of_representatives_district_5
surry_10,137,600,us_house_of_representatives_district_5
surry_3,419,1073,us_house_of_representatives_district_5
surry_9,200,637,us_house_of_representatives_district_5
surry_6,369,505,us_house_of_representatives_district_5
surry_26,359,1270,us_house_of_representatives_district_5
surry_23,254,652,us_house_of_representatives_district_5
stokes_18,95,77,us_house_of_representatives_district_5
stokes_OS DANBURY,695,1455,us_house_of_representatives_district_5
stokes_ABSENTEE,166,569,us_house_of_representatives_district_5
stokes_4,102,398,us_house_of_representatives_district_5
stokes_7,78,189,us_house_of_representatives_district_5
stokes_15,118,361,us_house_of_representatives_district_5
stokes_12,141,523,us_house_of_representatives_district_5
stokes_OS WALNUT COVE,1003,1925,us_house_of_representatives_district_5
stokes_1,58,212,us_house_of_representatives_district_5
stokes_20,141,474,us_house_of_representatives_district_5
stokes_14,152,530,us_house_of_representatives_district_5
stokes_16,155,237,us_house_of_representatives_district_5
stokes_19,88,291,us_house_of_representatives_district_5
stokes_11,180,534,us_house_of_representatives_district_5
stokes_8,110,411,us_house_of_representatives_district_5
stokes_OS KING,1569,4547,us_house_of_representatives_district_5
stokes_17,103,258,us_house_of_representatives_district_5
stokes_13,117,442,us_house_of_representatives_district_5
stokes_5,101,273,us_house_of_representatives_district_5
stokes_2,205,608,us_house_of_representatives_district_5
stokes_10,138,520,us_house_of_representatives_district_5
stokes_9,211,523,us_house_of_representatives_district_5
stokes_6,66,264,us_house_of_representatives_district_5
stokes_3,90,481,us_house_of_representatives_district_5
watauga_1,53,84,us_house_of_representatives_district_5
watauga_20,62,126,us_house_of_representatives_district_5
watauga_7,340,399,us_house_of_representatives_district_5
watauga_4,241,483,us_house_of_representatives_district_5
watauga_5,138,101,us_house_of_representatives_district_5
watauga_2,91,281,us_house_of_representatives_district_5
watauga_OS MEAT CAMP,263,475,us_house_of_representatives_district_5
watauga_11,195,364,us_house_of_representatives_district_5
watauga_8,197,403,us_house_of_representatives_district_5
watauga_14,247,309,us_house_of_representatives_district_5
watauga_16,15,47,us_house_of_representatives_district_5
watauga_19,294,549,us_house_of_representatives_district_5
watauga_OS BLOWING ROCK,473,594,us_house_of_representatives_district_5
watauga_OS ADMIN,5154,3900,us_house_of_representatives_district_5
watauga_9,66,108,us_house_of_representatives_district_5
watauga_6,190,158,us_house_of_representatives_district_5
watauga_3,260,335,us_house_of_representatives_district_5
watauga_12,182,135,us_house_of_representatives_district_5
watauga_15,282,397,us_house_of_representatives_district_5
watauga_ABSENTEE MAIL,621,576,us_house_of_representatives_district_5
watauga_17,75,179,us_house_of_representatives_district_5
watauga_OS ASU,4170,1975,us_house_of_representatives_district_5
watauga_10,98,213,us_house_of_representatives_district_5
watauga_OS WESTERN W,345,710,us_house_of_representatives_district_5
watauga_18,109,342,us_house_of_representatives_district_5
watauga_13,224,206,us_house_of_representatives_district_5
watauga_OS DEEP GAP,296,657,us_house_of_representatives_district_5
wilkes_121,113,534,us_house_of_representatives_district_5
wilkes_OS MULBERRY,210,816,us_house_of_representatives_district_5
wilkes_107,162,697,us_house_of_representatives_district_5
wilkes_110,28,116,us_house_of_representatives_district_5
wilkes_OS PLEASANT HILL,311,1246,us_house_of_representatives_district_5
wilkes_109,88,260,us_house_of_representatives_district_5
wilkes_117,120,486,us_house_of_representatives_district_5
wilkes_105,76,337,us_house_of_representatives_district_5
wilkes_104,128,397,us_house_of_representatives_district_5
wilkes_128,222,675,us_house_of_representatives_district_5
wilkes_113,169,415,us_house_of_representatives_district_5
wilkes_123,82,355,us_house_of_representatives_district_5
wilkes_111,108,382,us_house_of_representatives_district_5
wilkes_108,151,288,us_house_of_representatives_district_5
wilkes_102,169,387,us_house_of_representatives_district_5
wilkes_115A,202,752,us_house_of_representatives_district_5
wilkes_OS MILLER CRK,356,1272,us_house_of_representatives_district_5
wilkes_119,200,668,us_house_of_representatives_district_5
wilkes_103,45,198,us_house_of_representatives_district_5
wilkes_101,93,225,us_house_of_representatives_district_5
wilkes_122,49,399,us_house_of_representatives_district_5
wilkes_127,192,291,us_house_of_representatives_district_5
wilkes_125,64,229,us_house_of_representatives_district_5
wilkes_114,47,220,us_house_of_representatives_district_5
wilkes_126,46,257,us_house_of_representatives_district_5
wilkes_124,114,437,us_house_of_representatives_district_5
wilkes_ABSENTEE,279,765,us_house_of_representatives_district_5
wilkes_OS OFFICE,3217,6934,us_house_of_representatives_district_5
wilkes_129,146,419,us_house_of_representatives_district_5
wilkes_106,93,334,us_house_of_representatives_district_5
wilkes_112,145,605,us_house_of_representatives_district_5
wilkes_120,99,425,us_house_of_representatives_district_5
wilkes_118,235,305,us_house_of_representatives_district_5
wilkes_OS MTN VIEW,111,535,us_house_of_representatives_district_5
yadkin_DCRK,128,511,us_house_of_representatives_district_5
yadkin_SLIB,158,665,us_house_of_representatives_district_5
yadkin_EBND,227,829,us_house_of_representatives_district_5
yadkin_FBSH,215,969,us_house_of_representatives_district_5
yadkin_NKNB,337,848,us_house_of_representatives_district_5
yadkin_SBCK,120,304,us_house_of_representatives_district_5
yadkin_NFAL,73,451,us_house_of_representatives_district_5
yadkin_SFAL,96,573,us_house_of_representatives_district_5
yadkin_NLIB,194,562,us_house_of_representatives_district_5
yadkin_BNVL,250,897,us_house_of_representatives_district_5
yadkin_NBCK,109,487,us_house_of_representatives_district_5
yadkin_SKNB,61,426,us_house_of_representatives_district_5
yadkin_ABSENTEE,102,434,us_house_of_representatives_district_5
