prec_id,Alma Adams,Vince Coakley,election
mecklenburg_33,480,214,us_house_of_representatives_district_12
mecklenburg_2,1,0,us_house_of_representatives_district_12
mecklenburg_62,528,171,us_house_of_representatives_district_12
mecklenburg_45,452,218,us_house_of_representatives_district_12
mecklenburg_99,436,77,us_house_of_representatives_district_12
mecklenburg_117,544,218,us_house_of_representatives_district_12
mecklenburg_30,759,187,us_house_of_representatives_district_12
mecklenburg_5,376,123,us_house_of_representatives_district_12
mecklenburg_11,1293,761,us_house_of_representatives_district_12
mecklenburg_210,2162,287,us_house_of_representatives_district_12
mecklenburg_211,2095,831,us_house_of_representatives_district_12
mecklenburg_79,457,286,us_house_of_representatives_district_12
mecklenburg_53,950,120,us_house_of_representatives_district_12
mecklenburg_24,712,136,us_house_of_representatives_district_12
mecklenburg_222,1672,652,us_house_of_representatives_district_12
mecklenburg_81,1208,315,us_house_of_representatives_district_12
mecklenburg_40,711,111,us_house_of_representatives_district_12
mecklenburg_12,665,81,us_house_of_representatives_district_12
mecklenburg_41,738,108,us_house_of_representatives_district_12
mecklenburg_98,664,145,us_house_of_representatives_district_12
mecklenburg_147,944,200,us_house_of_representatives_district_12
mecklenburg_22,1059,452,us_house_of_representatives_district_12
mecklenburg_39,654,47,us_house_of_representatives_district_12
mecklenburg_78.1,398,167,us_house_of_representatives_district_12
mecklenburg_13,687,225,us_house_of_representatives_district_12
mecklenburg_52,951,85,us_house_of_representatives_district_12
mecklenburg_77,806,89,us_house_of_representatives_district_12
mecklenburg_14,816,81,us_house_of_representatives_district_12
mecklenburg_23,493,62,us_house_of_representatives_district_12
mecklenburg_31,802,41,us_house_of_representatives_district_12
mecklenburg_97,384,136,us_house_of_representatives_district_12
mecklenburg_105,870,225,us_house_of_representatives_district_12
mecklenburg_126,956,217,us_house_of_representatives_district_12
mecklenburg_107.1,1076,314,us_house_of_representatives_district_12
mecklenburg_27,717,64,us_house_of_representatives_district_12
mecklenburg_135,1885,366,us_house_of_representatives_district_12
mecklenburg_56,465,29,us_house_of_representatives_district_12
mecklenburg_28,558,127,us_house_of_representatives_district_12
mecklenburg_82,979,59,us_house_of_representatives_district_12
mecklenburg_141,450,146,us_house_of_representatives_district_12
mecklenburg_146,1126,288,us_house_of_representatives_district_12
mecklenburg_42,1024,80,us_house_of_representatives_district_12
mecklenburg_213,1320,215,us_house_of_representatives_district_12
mecklenburg_26,1199,202,us_house_of_representatives_district_12
mecklenburg_132,531,251,us_house_of_representatives_district_12
mecklenburg_151,1066,426,us_house_of_representatives_district_12
mecklenburg_55,598,40,us_house_of_representatives_district_12
mecklenburg_237,960,308,us_house_of_representatives_district_12
mecklenburg_16,1347,54,us_house_of_representatives_district_12
mecklenburg_25,835,39,us_house_of_representatives_district_12
mecklenburg_54,996,68,us_house_of_representatives_district_12
mecklenburg_212,2376,713,us_house_of_representatives_district_12
rowan_34,506,487,us_house_of_representatives_district_12
rowan_35,364,190,us_house_of_representatives_district_12
rowan_38,776,397,us_house_of_representatives_district_12
rowan_8,379,1028,us_house_of_representatives_district_12
rowan_4,280,1361,us_house_of_representatives_district_12
rowan_28,516,442,us_house_of_representatives_district_12
rowan_36,694,414,us_house_of_representatives_district_12
rowan_18,348,27,us_house_of_representatives_district_12
rowan_30,263,512,us_house_of_representatives_district_12
rowan_42,430,15,us_house_of_representatives_district_12
rowan_44,159,783,us_house_of_representatives_district_12
