prec_id,Jamie Boles,election
moore_RBN,247,nc_house_of_representatives_district_052
moore_VSS,467,nc_house_of_representatives_district_052
moore_WND,443,nc_house_of_representatives_district_052
moore_PHB1,796,nc_house_of_representatives_district_052
moore_PHA1,835,nc_house_of_representatives_district_052
moore_PHA2,600,nc_house_of_representatives_district_052
moore_WAB,792,nc_house_of_representatives_district_052
moore_PDN,970,nc_house_of_representatives_district_052
moore_EKWD,318,nc_house_of_representatives_district_052
moore_NSP,577,nc_house_of_representatives_district_052
moore_WKWD,577,nc_house_of_representatives_district_052
moore_EAB,566,nc_house_of_representatives_district_052
moore_PBF,588,nc_house_of_representatives_district_052
moore_BEN,494,nc_house_of_representatives_district_052
moore_EUR,1200,nc_house_of_representatives_district_052
moore_EWD,395,nc_house_of_representatives_district_052
moore_LTR,654,nc_house_of_representatives_district_052
moore_WEM,368,nc_house_of_representatives_district_052
moore_SSP,533,nc_house_of_representatives_district_052
moore_PHC,1278,nc_house_of_representatives_district_052
moore_ONESTOP,5719,nc_house_of_representatives_district_052
moore_PHB2,750,nc_house_of_representatives_district_052
moore_SLS,1021,nc_house_of_representatives_district_052
moore_CAM,517,nc_house_of_representatives_district_052
moore_TLT,93,nc_house_of_representatives_district_052
