prec_id,Josh Dobson,election
avery_18,121,nc_house_of_representatives_district_085
avery_13,178,nc_house_of_representatives_district_085
avery_2,632,nc_house_of_representatives_district_085
avery_16,382,nc_house_of_representatives_district_085
avery_14,243,nc_house_of_representatives_district_085
avery_19,130,nc_house_of_representatives_district_085
avery_8,141,nc_house_of_representatives_district_085
avery_5,102,nc_house_of_representatives_district_085
avery_11,147,nc_house_of_representatives_district_085
avery_12,110,nc_house_of_representatives_district_085
avery_17,246,nc_house_of_representatives_district_085
avery_9,157,nc_house_of_representatives_district_085
avery_10,296,nc_house_of_representatives_district_085
avery_6,259,nc_house_of_representatives_district_085
avery_3,192,nc_house_of_representatives_district_085
avery_4,28,nc_house_of_representatives_district_085
avery_7,110,nc_house_of_representatives_district_085
avery_1,320,nc_house_of_representatives_district_085
avery_ABSENTEE,261,nc_house_of_representatives_district_085
avery_15,193,nc_house_of_representatives_district_085
mcdowell_NEBO,1655,nc_house_of_representatives_district_085
mcdowell_N.COVE,470,nc_house_of_representatives_district_085
mcdowell_FORT 2,605,nc_house_of_representatives_district_085
mcdowell_CCREEK,1467,nc_house_of_representatives_district_085
mcdowell_DYSART,1275,nc_house_of_representatives_district_085
mcdowell_43894,498,nc_house_of_representatives_district_085
mcdowell_WEST M,1883,nc_house_of_representatives_district_085
mcdowell_GLENWD,1009,nc_house_of_representatives_district_085
mcdowell_43891,1561,nc_house_of_representatives_district_085
mcdowell_PLEASA,1356,nc_house_of_representatives_district_085
mcdowell_T.COVE,468,nc_house_of_representatives_district_085
mcdowell_M.COVE,975,nc_house_of_representatives_district_085
mcdowell_43893,448,nc_house_of_representatives_district_085
mcdowell_43892,702,nc_house_of_representatives_district_085
mcdowell_43895,456,nc_house_of_representatives_district_085
mcdowell_HIGGIN,697,nc_house_of_representatives_district_085
mcdowell_FORT 1,729,nc_house_of_representatives_district_085
mitchell_9,697,nc_house_of_representatives_district_085
mitchell_6,332,nc_house_of_representatives_district_085
mitchell_3,325,nc_house_of_representatives_district_085
mitchell_7,118,nc_house_of_representatives_district_085
mitchell_4,3289,nc_house_of_representatives_district_085
mitchell_1,712,nc_house_of_representatives_district_085
mitchell_2,188,nc_house_of_representatives_district_085
mitchell_8,186,nc_house_of_representatives_district_085
mitchell_5,405,nc_house_of_representatives_district_085
