prec_id,Hugh Blackwell,Tim Barnsback,election
burke_21,575,337,nc_house_of_representatives_district_086
burke_0047-B,447,415,nc_house_of_representatives_district_086
burke_66,767,462,nc_house_of_representatives_district_086
burke_62,380,190,nc_house_of_representatives_district_086
burke_11,1441,319,nc_house_of_representatives_district_086
burke_14,1037,219,nc_house_of_representatives_district_086
burke_39,478,600,nc_house_of_representatives_district_086
burke_51,1393,825,nc_house_of_representatives_district_086
burke_12,1084,193,nc_house_of_representatives_district_086
burke_36,752,536,nc_house_of_representatives_district_086
burke_19,266,153,nc_house_of_representatives_district_086
burke_31,445,846,nc_house_of_representatives_district_086
burke_34,608,757,nc_house_of_representatives_district_086
burke_38,804,600,nc_house_of_representatives_district_086
burke_18,228,111,nc_house_of_representatives_district_086
burke_13,1420,423,nc_house_of_representatives_district_086
burke_40,687,462,nc_house_of_representatives_district_086
burke_1,1325,751,nc_house_of_representatives_district_086
burke_24,1140,570,nc_house_of_representatives_district_086
burke_0047-A,648,755,nc_house_of_representatives_district_086
burke_35,417,558,nc_house_of_representatives_district_086
burke_52,497,330,nc_house_of_representatives_district_086
burke_3,558,239,nc_house_of_representatives_district_086
burke_48,807,660,nc_house_of_representatives_district_086
burke_ABSENTEE,0,0,nc_house_of_representatives_district_086
burke_22,900,359,nc_house_of_representatives_district_086
burke_20,390,278,nc_house_of_representatives_district_086
burke_15,725,209,nc_house_of_representatives_district_086
burke_70,1007,609,nc_house_of_representatives_district_086
