prec_id,David Gordon,Donny C. Lambeth,election
forsyth_122,225,369,nc_house_of_representatives_district_075
forsyth_53,308,800,nc_house_of_representatives_district_075
forsyth_12,258,848,nc_house_of_representatives_district_075
forsyth_15,234,579,nc_house_of_representatives_district_075
forsyth_705,324,283,nc_house_of_representatives_district_075
forsyth_54,433,1042,nc_house_of_representatives_district_075
forsyth_51,363,909,nc_house_of_representatives_district_075
forsyth_14,234,708,nc_house_of_representatives_district_075
forsyth_42,406,542,nc_house_of_representatives_district_075
forsyth_708,648,754,nc_house_of_representatives_district_075
forsyth_11,709,1233,nc_house_of_representatives_district_075
forsyth_43,207,469,nc_house_of_representatives_district_075
forsyth_13,633,1038,nc_house_of_representatives_district_075
forsyth_63,475,1308,nc_house_of_representatives_district_075
forsyth_65,492,1302,nc_house_of_representatives_district_075
forsyth_709,593,556,nc_house_of_representatives_district_075
forsyth_52,180,503,nc_house_of_representatives_district_075
forsyth_55,452,1187,nc_house_of_representatives_district_075
forsyth_702,423,330,nc_house_of_representatives_district_075
forsyth_601,96,35,nc_house_of_representatives_district_075
forsyth_604,138,103,nc_house_of_representatives_district_075
forsyth_507,529,480,nc_house_of_representatives_district_075
forsyth_703,322,263,nc_house_of_representatives_district_075
forsyth_704,475,323,nc_house_of_representatives_district_075
forsyth_607,443,463,nc_house_of_representatives_district_075
forsyth_602,257,189,nc_house_of_representatives_district_075
