prec_id,Dan Whitten,Phillip Shepard,election
onslow_OS-SWANSBORO ROTARY,3,33,nc_house_of_representatives_district_015
onslow_TL06,144,488,nc_house_of_representatives_district_015
onslow_HM05,124,179,nc_house_of_representatives_district_015
onslow_WN04,266,665,nc_house_of_representatives_district_015
onslow_FS16,184,912,nc_house_of_representatives_district_015
onslow_ABSENTEE,184,460,nc_house_of_representatives_district_015
onslow_NR02,256,81,nc_house_of_representatives_district_015
onslow_HR17,200,601,nc_house_of_representatives_district_015
onslow_OS-ONSLOW OFFICE,1918,3345,nc_house_of_representatives_district_015
onslow_JA01,267,632,nc_house_of_representatives_district_015
onslow_VR15,85,322,nc_house_of_representatives_district_015
onslow_CR07,221,697,nc_house_of_representatives_district_015
onslow_OS-VERONA,503,1890,nc_house_of_representatives_district_015
onslow_OS-COMMONS REC CTR,1077,1658,nc_house_of_representatives_district_015
onslow_SF18,273,1137,nc_house_of_representatives_district_015
