prec_id,Harry Brown,election
jones_P07,310,nc_state_senate_district_06
jones_P04,391,nc_state_senate_district_06
jones_P01,203,nc_state_senate_district_06
jones_P06,229,nc_state_senate_district_06
jones_P03,208,nc_state_senate_district_06
jones_ABSENTEE,76,nc_state_senate_district_06
jones_P05,267,nc_state_senate_district_06
jones_P02,150,nc_state_senate_district_06
onslow_NE22B,907,nc_state_senate_district_06
onslow_RL09,895,nc_state_senate_district_06
onslow_HN14,527,nc_state_senate_district_06
onslow_OS-SWANSBORO ROTARY,3691,nc_state_senate_district_06
onslow_TL06,531,nc_state_senate_district_06
onslow_NM13,394,nc_state_senate_district_06
onslow_CL10,594,nc_state_senate_district_06
onslow_HM05,799,nc_state_senate_district_06
onslow_WN04,776,nc_state_senate_district_06
onslow_FS16,971,nc_state_senate_district_06
onslow_NE22A,559,nc_state_senate_district_06
onslow_ABSENTEE,1465,nc_state_senate_district_06
onslow_SW19,720,nc_state_senate_district_06
onslow_NR02,127,nc_state_senate_district_06
onslow_HU20,674,nc_state_senate_district_06
onslow_HR17,680,nc_state_senate_district_06
onslow_EN03,1137,nc_state_senate_district_06
onslow_OS-ONSLOW OFFICE,9780,nc_state_senate_district_06
onslow_GB12,709,nc_state_senate_district_06
onslow_JA01,749,nc_state_senate_district_06
onslow_BM08,910,nc_state_senate_district_06
onslow_ML23,368,nc_state_senate_district_06
onslow_VR15,354,nc_state_senate_district_06
onslow_CR07,754,nc_state_senate_district_06
onslow_BC21,845,nc_state_senate_district_06
onslow_OS-VERONA,2428,nc_state_senate_district_06
onslow_OS-COMMONS REC CTR,7302,nc_state_senate_district_06
onslow_SF18,1230,nc_state_senate_district_06
onslow_MT24,459,nc_state_senate_district_06
