prec_id,Kim Hargett,Mark Brody,election
anson_POLK,156,165,nc_house_of_representatives_district_055
anson_W1,328,123,nc_house_of_representatives_district_055
anson_GULL,142,156,nc_house_of_representatives_district_055
anson_ANS,256,191,nc_house_of_representatives_district_055
anson_PEAC,162,367,nc_house_of_representatives_district_055
anson_BURN,156,405,nc_house_of_representatives_district_055
anson_MM,260,82,nc_house_of_representatives_district_055
anson_WS,74,74,nc_house_of_representatives_district_055
anson_ABSENTEE,132,84,nc_house_of_representatives_district_055
anson_W3,202,159,nc_house_of_representatives_district_055
anson_LILE,286,246,nc_house_of_representatives_district_055
anson_W2,161,91,nc_house_of_representatives_district_055
union_27,508,782,nc_house_of_representatives_district_055
union_24,341,1311,nc_house_of_representatives_district_055
union_7,880,1444,nc_house_of_representatives_district_055
union_36,607,749,nc_house_of_representatives_district_055
union_12,261,1475,nc_house_of_representatives_district_055
union_22,283,1536,nc_house_of_representatives_district_055
union_25,455,878,nc_house_of_representatives_district_055
union_34,723,1584,nc_house_of_representatives_district_055
union_33,548,1071,nc_house_of_representatives_district_055
union_ABSENTEE,0,0,nc_house_of_representatives_district_055
union_9,727,249,nc_house_of_representatives_district_055
union_19,241,426,nc_house_of_representatives_district_055
union_26,447,866,nc_house_of_representatives_district_055
union_23,474,1021,nc_house_of_representatives_district_055
union_32,233,785,nc_house_of_representatives_district_055
union_CURBSIDE,0,0,nc_house_of_representatives_district_055
union_11,359,1474,nc_house_of_representatives_district_055
union_21,331,1318,nc_house_of_representatives_district_055
