prec_id,Mark Meadows,Rick Bryson,election
buncombe_OS ABTC,170,248,us_house_of_representatives_district_11
buncombe_71.1,416,280,us_house_of_representatives_district_11
buncombe_53.1,352,163,us_house_of_representatives_district_11
buncombe_44.1,435,271,us_house_of_representatives_district_11
buncombe_48.1,426,220,us_house_of_representatives_district_11
buncombe_14.3,103,225,us_house_of_representatives_district_11
buncombe_OS LCBL,3708,1783,us_house_of_representatives_district_11
buncombe_OS PCBC,1499,434,us_house_of_representatives_district_11
buncombe_OS BTFD,47,60,us_house_of_representatives_district_11
buncombe_68.1,516,292,us_house_of_representatives_district_11
buncombe_47.1,706,316,us_house_of_representatives_district_11
buncombe_14.2,2,10,us_house_of_representatives_district_11
buncombe_OS WOCO,733,552,us_house_of_representatives_district_11
buncombe_OS WABL,2040,5274,us_house_of_representatives_district_11
buncombe_67.1,197,158,us_house_of_representatives_district_11
buncombe_OS UNCA,260,1011,us_house_of_representatives_district_11
buncombe_24.1,250,217,us_house_of_representatives_district_11
buncombe_51.2,304,135,us_house_of_representatives_district_11
buncombe_OS BMBL,49,80,us_house_of_representatives_district_11
buncombe_26.1,131,234,us_house_of_representatives_district_11
buncombe_41.1,510,193,us_house_of_representatives_district_11
buncombe_15.1,124,311,us_house_of_representatives_district_11
buncombe_OS SBBL,2063,2367,us_house_of_representatives_district_11
buncombe_OS WVTH,4700,4079,us_house_of_representatives_district_11
buncombe_OS ECBL,4500,3421,us_house_of_representatives_district_11
buncombe_OS ACCC,1477,1098,us_house_of_representatives_district_11
buncombe_31.1,368,192,us_house_of_representatives_district_11
buncombe_40.2,503,190,us_house_of_representatives_district_11
buncombe_42.1,269,248,us_house_of_representatives_district_11
buncombe_OS PACK,127,633,us_house_of_representatives_district_11
buncombe_49.1,575,225,us_house_of_representatives_district_11
buncombe_50.1,391,169,us_house_of_representatives_district_11
buncombe_OS AVML,501,651,us_house_of_representatives_district_11
buncombe_4.1,96,204,us_house_of_representatives_district_11
buncombe_5.1,190,236,us_house_of_representatives_district_11
buncombe_46.1,216,132,us_house_of_representatives_district_11
buncombe_18.2,423,367,us_house_of_representatives_district_11
buncombe_OS MORC,60,101,us_house_of_representatives_district_11
buncombe_45.1,429,311,us_house_of_representatives_district_11
buncombe_52.1,443,175,us_house_of_representatives_district_11
buncombe_16.2,127,349,us_house_of_representatives_district_11
buncombe_59.1,437,246,us_house_of_representatives_district_11
buncombe_63.1,144,87,us_house_of_representatives_district_11
buncombe_681,112,47,us_house_of_representatives_district_11
buncombe_OS WGSC,121,492,us_house_of_representatives_district_11
buncombe_70.1,232,289,us_house_of_representatives_district_11
buncombe_69.1,423,206,us_house_of_representatives_district_11
buncombe_ABSENTEE,0,0,us_house_of_representatives_district_11
buncombe_OS FVBL,76,52,us_house_of_representatives_district_11
buncombe_OS FCAM,93,368,us_house_of_representatives_district_11
buncombe_OS NHPC,466,527,us_house_of_representatives_district_11
buncombe_30.3,324,184,us_house_of_representatives_district_11
buncombe_13.1,107,397,us_house_of_representatives_district_11
buncombe_54.2,429,348,us_house_of_representatives_district_11
buncombe_OS NABL,1215,2984,us_house_of_representatives_district_11
buncombe_58.1,174,136,us_house_of_representatives_district_11
buncombe_30.2,301,171,us_house_of_representatives_district_11
buncombe_43.2,211,219,us_house_of_representatives_district_11
caldwell_PR01,407,156,us_house_of_representatives_district_11
caldwell_PR08,281,96,us_house_of_representatives_district_11
caldwell_ABSENTEE,708,308,us_house_of_representatives_district_11
caldwell_PR17,214,101,us_house_of_representatives_district_11
caldwell_PR32,601,118,us_house_of_representatives_district_11
caldwell_PR24,223,55,us_house_of_representatives_district_11
caldwell_PR29,324,169,us_house_of_representatives_district_11
caldwell_PR33,732,169,us_house_of_representatives_district_11
caldwell_PR18,507,170,us_house_of_representatives_district_11
caldwell_PR13,667,124,us_house_of_representatives_district_11
caldwell_PR02,254,94,us_house_of_representatives_district_11
caldwell_PR07,389,88,us_house_of_representatives_district_11
caldwell_PR25,265,73,us_house_of_representatives_district_11
caldwell_PR35,312,68,us_house_of_representatives_district_11
caldwell_PR22,480,111,us_house_of_representatives_district_11
caldwell_PR34,705,163,us_house_of_representatives_district_11
caldwell_PR14,353,107,us_house_of_representatives_district_11
caldwell_PR16,142,100,us_house_of_representatives_district_11
caldwell_PR21,531,115,us_house_of_representatives_district_11
caldwell_PR30,216,191,us_house_of_representatives_district_11
caldwell_PR31,165,96,us_house_of_representatives_district_11
burke_21,615,270,us_house_of_representatives_district_11
burke_0047-B,516,341,us_house_of_representatives_district_11
burke_66,822,394,us_house_of_representatives_district_11
burke_62,411,152,us_house_of_representatives_district_11
burke_11,1458,301,us_house_of_representatives_district_11
burke_14,1060,198,us_house_of_representatives_district_11
burke_39,539,526,us_house_of_representatives_district_11
burke_51,1474,720,us_house_of_representatives_district_11
burke_12,1119,145,us_house_of_representatives_district_11
burke_36,872,392,us_house_of_representatives_district_11
burke_65,539,167,us_house_of_representatives_district_11
burke_19,273,144,us_house_of_representatives_district_11
burke_0029-A,623,122,us_house_of_representatives_district_11
burke_31,503,767,us_house_of_representatives_district_11
burke_34,679,679,us_house_of_representatives_district_11
burke_53,1030,328,us_house_of_representatives_district_11
burke_38,886,500,us_house_of_representatives_district_11
burke_18,224,114,us_house_of_representatives_district_11
burke_13,1491,333,us_house_of_representatives_district_11
burke_40,777,367,us_house_of_representatives_district_11
burke_1,1437,620,us_house_of_representatives_district_11
burke_24,1197,494,us_house_of_representatives_district_11
burke_0047-A,718,666,us_house_of_representatives_district_11
burke_35,462,507,us_house_of_representatives_district_11
