prec_id,Lois Bohnsack,Pat B. Hurley,election
randolph_AW,1252,2419,nc_house_of_representatives_district_070
randolph_RN,832,2771,nc_house_of_representatives_district_070
randolph_LC,319,1270,nc_house_of_representatives_district_070
randolph_AN,724,1519,nc_house_of_representatives_district_070
randolph_NM,446,2469,nc_house_of_representatives_district_070
randolph_TR,1075,4363,nc_house_of_representatives_district_070
randolph_AR,1213,4302,nc_house_of_representatives_district_070
randolph_TT,405,2371,nc_house_of_representatives_district_070
randolph_BC,294,1828,nc_house_of_representatives_district_070
randolph_AE,1229,1544,nc_house_of_representatives_district_070
