prec_id,Brenden Jones,"Thomas (Tom) Howell, Jr.",Tim Benton,election
bladen_MAIL ABSENTEE,42,1,170,nc_house_of_representatives_district_046
bladen_P201,87,12,117,nc_house_of_representatives_district_046
bladen_P202,170,31,199,nc_house_of_representatives_district_046
columbus_P10,319,4,41,nc_house_of_representatives_district_046
columbus_P03,190,8,45,nc_house_of_representatives_district_046
columbus_OS LOBBY,4637,155,3171,nc_house_of_representatives_district_046
columbus_P06,253,7,85,nc_house_of_representatives_district_046
columbus_OS FAIR BLUFF,167,6,87,nc_house_of_representatives_district_046
columbus_P02B,128,7,126,nc_house_of_representatives_district_046
columbus_P17,132,11,183,nc_house_of_representatives_district_046
columbus_ABSENTEE,241,10,218,nc_house_of_representatives_district_046
columbus_P21,222,4,75,nc_house_of_representatives_district_046
columbus_P14,412,17,256,nc_house_of_representatives_district_046
columbus_P15,359,20,226,nc_house_of_representatives_district_046
columbus_P09,174,10,187,nc_house_of_representatives_district_046
columbus_P23,249,7,138,nc_house_of_representatives_district_046
columbus_P22A,429,21,129,nc_house_of_representatives_district_046
columbus_P04,96,5,51,nc_house_of_representatives_district_046
columbus_P16B,348,23,124,nc_house_of_representatives_district_046
columbus_OS BOLTON,214,17,188,nc_house_of_representatives_district_046
columbus_P11,250,15,50,nc_house_of_representatives_district_046
columbus_P08,158,3,9,nc_house_of_representatives_district_046
columbus_OS TABOR CITY,829,17,408,nc_house_of_representatives_district_046
columbus_OS CHADBOURN,358,13,326,nc_house_of_representatives_district_046
columbus_P25B,422,14,59,nc_house_of_representatives_district_046
columbus_P26B,495,23,346,nc_house_of_representatives_district_046
columbus_P18,103,6,52,nc_house_of_representatives_district_046
columbus_P19,259,19,194,nc_house_of_representatives_district_046
columbus_OS EAST COLUMBUS,638,30,689,nc_house_of_representatives_district_046
columbus_P01A,313,22,182,nc_house_of_representatives_district_046
columbus_P24,586,19,76,nc_house_of_representatives_district_046
columbus_P12,104,4,33,nc_house_of_representatives_district_046
columbus_P13,230,6,54,nc_house_of_representatives_district_046
columbus_P05,128,8,53,nc_house_of_representatives_district_046
columbus_P07,329,14,387,nc_house_of_representatives_district_046
columbus_P20A,88,6,106,nc_house_of_representatives_district_046
robeson_11,636,48,218,nc_house_of_representatives_district_046
robeson_8,401,33,148,nc_house_of_representatives_district_046
robeson_OS PEMBROKE,4,2,12,nc_house_of_representatives_district_046
robeson_OS FAIRMONT,30,2,10,nc_house_of_representatives_district_046
robeson_14,0,0,1,nc_house_of_representatives_district_046
robeson_OS MAXTON,1,0,3,nc_house_of_representatives_district_046
robeson_OS ST PAULS,8,0,4,nc_house_of_representatives_district_046
robeson_OS RED SPRINGS,2,0,4,nc_house_of_representatives_district_046
robeson_20,34,5,15,nc_house_of_representatives_district_046
robeson_41,649,57,284,nc_house_of_representatives_district_046
robeson_36,0,1,0,nc_house_of_representatives_district_046
robeson_ABSENTEE,98,8,34,nc_house_of_representatives_district_046
robeson_12,1,0,2,nc_house_of_representatives_district_046
robeson_3,371,25,175,nc_house_of_representatives_district_046
robeson_37,229,20,43,nc_house_of_representatives_district_046
robeson_18A,105,10,36,nc_house_of_representatives_district_046
robeson_30,49,10,30,nc_house_of_representatives_district_046
robeson_9,49,8,5,nc_house_of_representatives_district_046
robeson_OS LUMBERTON BOE,1818,129,1092,nc_house_of_representatives_district_046
