prec_id,Brian Farkas,Greg Murphy,election
pitt_1507B,275,275,nc_house_of_representatives_district_009
pitt_1511A,223,486,nc_house_of_representatives_district_009
pitt_1510B,234,297,nc_house_of_representatives_district_009
pitt_ABSENTEE #2,185,205,nc_house_of_representatives_district_009
pitt_OS WILLIS BUILDING #2,2588,1625,nc_house_of_representatives_district_009
pitt_1102B,250,580,nc_house_of_representatives_district_009
pitt_1301,62,228,nc_house_of_representatives_district_009
pitt_1201,287,393,nc_house_of_representatives_district_009
pitt_OS AYDEN #2,7,14,nc_house_of_representatives_district_009
pitt_1509,532,486,nc_house_of_representatives_district_009
pitt_OS COMMUNITY SCHOOLS 2,2513,3303,nc_house_of_representatives_district_009
pitt_1403B,110,220,nc_house_of_representatives_district_009
pitt_1001,361,475,nc_house_of_representatives_district_009
pitt_OS COMMUNITY SCHOOLS 1,2419,4795,nc_house_of_representatives_district_009
pitt_OS COUNTY OFFICE 1,390,359,nc_house_of_representatives_district_009
pitt_OS FARMVILLE 2,9,21,nc_house_of_representatives_district_009
pitt_OS FARMVILLE 1,7,10,nc_house_of_representatives_district_009
pitt_ABSENTEE #1,137,231,nc_house_of_representatives_district_009
pitt_1403A2,87,103,nc_house_of_representatives_district_009
pitt_1508B,255,256,nc_house_of_representatives_district_009
pitt_1102A,193,404,nc_house_of_representatives_district_009
pitt_1101,190,232,nc_house_of_representatives_district_009
pitt_OS COUNTY OFFICE 2,543,384,nc_house_of_representatives_district_009
pitt_OS WINTERVILLE #2,759,1103,nc_house_of_representatives_district_009
pitt_OS AYDEN #1,167,282,nc_house_of_representatives_district_009
pitt_1507,438,449,nc_house_of_representatives_district_009
pitt_501,91,280,nc_house_of_representatives_district_009
pitt_OS AG CENTER 2,434,315,nc_house_of_representatives_district_009
pitt_1511B,307,368,nc_house_of_representatives_district_009
pitt_1508A,124,172,nc_house_of_representatives_district_009
pitt_0200B,0,3,nc_house_of_representatives_district_009
pitt_401,0,0,nc_house_of_representatives_district_009
pitt_OS ECU-WILLIS BLDG 1,341,546,nc_house_of_representatives_district_009
pitt_OS AG CENTER 1,736,1107,nc_house_of_representatives_district_009
pitt_601,163,517,nc_house_of_representatives_district_009
pitt_1510A,191,378,nc_house_of_representatives_district_009
pitt_1513B,178,267,nc_house_of_representatives_district_009
pitt_1513A,212,321,nc_house_of_representatives_district_009
pitt_OS WINTERVILLE #1,714,1134,nc_house_of_representatives_district_009
