prec_id,Andrew C. Brock,Constance L. (Connie) Johnson,election
davie_1,365,145,nc_state_senate_district_34
davie_14,653,320,nc_state_senate_district_34
davie_4,446,195,nc_state_senate_district_34
davie_7,532,207,nc_state_senate_district_34
davie_12,1180,495,nc_state_senate_district_34
davie_5,787,322,nc_state_senate_district_34
davie_2,325,138,nc_state_senate_district_34
davie_ONESTOP,116,57,nc_state_senate_district_34
davie_8,451,345,nc_state_senate_district_34
davie_11,584,157,nc_state_senate_district_34
davie_3,815,289,nc_state_senate_district_34
davie_6,493,215,nc_state_senate_district_34
davie_9,579,371,nc_state_senate_district_34
davie_13,1103,485,nc_state_senate_district_34
davie_10,787,334,nc_state_senate_district_34
iredell_TB,645,377,nc_state_senate_district_34
iredell_EM,384,129,nc_state_senate_district_34
iredell_SB,674,201,nc_state_senate_district_34
iredell_CD,1520,533,nc_state_senate_district_34
iredell_OL,495,144,nc_state_senate_district_34
iredell_CS,791,389,nc_state_senate_district_34
iredell_NH,455,120,nc_state_senate_district_34
iredell_CH-A,666,465,nc_state_senate_district_34
iredell_UG,568,165,nc_state_senate_district_34
iredell_BE,1737,727,nc_state_senate_district_34
iredell_BA,1185,527,nc_state_senate_district_34
iredell_CH-B,624,324,nc_state_senate_district_34
rowan_41,623,563,nc_state_senate_district_34
rowan_14A,1375,503,nc_state_senate_district_34
rowan_34,440,538,nc_state_senate_district_34
rowan_35,177,377,nc_state_senate_district_34
rowan_2,277,244,nc_state_senate_district_34
rowan_39,466,391,nc_state_senate_district_34
rowan_38,358,792,nc_state_senate_district_34
rowan_8,974,413,nc_state_senate_district_34
rowan_16,408,216,nc_state_senate_district_34
rowan_29,410,119,nc_state_senate_district_34
rowan_32,552,214,nc_state_senate_district_34
rowan_27,399,175,nc_state_senate_district_34
rowan_4,1332,289,nc_state_senate_district_34
rowan_12,399,357,nc_state_senate_district_34
rowan_7,462,357,nc_state_senate_district_34
rowan_15,1080,322,nc_state_senate_district_34
rowan_17,498,251,nc_state_senate_district_34
rowan_28,438,510,nc_state_senate_district_34
rowan_36,398,693,nc_state_senate_district_34
rowan_10,978,234,nc_state_senate_district_34
rowan_18,18,361,nc_state_senate_district_34
rowan_24,462,141,nc_state_senate_district_34
rowan_30,505,261,nc_state_senate_district_34
rowan_31,531,203,nc_state_senate_district_34
rowan_40,604,602,nc_state_senate_district_34
rowan_45,265,289,nc_state_senate_district_34
rowan_19A,1275,376,nc_state_senate_district_34
rowan_9,707,128,nc_state_senate_district_34
rowan_21,782,375,nc_state_senate_district_34
rowan_11,888,397,nc_state_senate_district_34
rowan_42,11,426,nc_state_senate_district_34
rowan_44,772,162,nc_state_senate_district_34
