prec_id,Bill Morris,Grier Martin,election
wake_OSLOB 41-80,241,1320,nc_house_of_representatives_district_034
wake_OSNB 1-40,7,14,nc_house_of_representatives_district_034
wake_ABSEN 41-80,296,521,nc_house_of_representatives_district_034
wake_OSWD 41-80,7,12,nc_house_of_representatives_district_034
wake_OSWA 41-80,1,17,nc_house_of_representatives_district_034
wake_OSGR 81-91,3,1,nc_house_of_representatives_district_034
wake_OSAV 81-91,2,1,nc_house_of_representatives_district_034
wake_OSNR 1-40,17,28,nc_house_of_representatives_district_034
wake_44022,315,374,nc_house_of_representatives_district_034
wake_43858,74,97,nc_house_of_representatives_district_034
wake_12055,273,333,nc_house_of_representatives_district_034
wake_44049,214,394,nc_house_of_representatives_district_034
wake_OSCA 81-91,45,104,nc_house_of_representatives_district_034
wake_OSLL 81-91,25,37,nc_house_of_representatives_district_034
wake_PROVI 1-40,66,91,nc_house_of_representatives_district_034
wake_43835,255,257,nc_house_of_representatives_district_034
wake_43832,295,436,nc_house_of_representatives_district_034
wake_OSNR 81-91,0,0,nc_house_of_representatives_district_034
wake_OSTC 1-40,61,90,nc_house_of_representatives_district_034
wake_TRANS 1-40,0,0,nc_house_of_representatives_district_034
wake_16438,323,282,nc_house_of_representatives_district_034
wake_44016,451,603,nc_house_of_representatives_district_034
wake_OSAB 41-80,44,107,nc_house_of_representatives_district_034
wake_01-07A,18,110,nc_house_of_representatives_district_034
wake_43844,276,627,nc_house_of_representatives_district_034
wake_43842,368,425,nc_house_of_representatives_district_034
wake_PROVI 41-80,32,95,nc_house_of_representatives_district_034
wake_OSCH 1-40,142,1091,nc_house_of_representatives_district_034
wake_OSGR 41-80,298,978,nc_house_of_representatives_district_034
wake_ABSEN 81-91,22,22,nc_house_of_representatives_district_034
wake_OSAP 81-91,0,1,nc_house_of_representatives_district_034
wake_13516,338,362,nc_house_of_representatives_district_034
wake_OSOP 41-80,521,1074,nc_house_of_representatives_district_034
wake_OSCA 41-80,24,76,nc_house_of_representatives_district_034
wake_OSKD 41-80,5,10,nc_house_of_representatives_district_034
wake_OSLOB 81-91,6,21,nc_house_of_representatives_district_034
wake_43831,248,482,nc_house_of_representatives_district_034
wake_15707,265,446,nc_house_of_representatives_district_034
wake_OSFB 41-80,23,35,nc_house_of_representatives_district_034
wake_OSNB 41-80,6,8,nc_house_of_representatives_district_034
wake_OSZB 1-40,25,27,nc_house_of_representatives_district_034
wake_OSAP 41-80,14,18,nc_house_of_representatives_district_034
wake_OSAP 1-40,29,54,nc_house_of_representatives_district_034
wake_44053,202,263,nc_house_of_representatives_district_034
wake_13881,204,311,nc_house_of_representatives_district_034
wake_43857,39,189,nc_house_of_representatives_district_034
wake_43836,366,549,nc_house_of_representatives_district_034
wake_OSLL 1-40,626,1779,nc_house_of_representatives_district_034
wake_OSFV 81-91,0,1,nc_house_of_representatives_district_034
wake_OSAV 41-80,18,50,nc_house_of_representatives_district_034
wake_OSCB 81-91,7,13,nc_house_of_representatives_district_034
wake_OSCB 1-40,435,1316,nc_house_of_representatives_district_034
wake_OSTC 81-91,3,3,nc_house_of_representatives_district_034
wake_OSOP 81-91,6,5,nc_house_of_representatives_district_034
wake_OSTC 41-80,86,107,nc_house_of_representatives_district_034
wake_18629,191,209,nc_house_of_representatives_district_034
wake_43839,176,345,nc_house_of_representatives_district_034
wake_OSNR 41-80,21,28,nc_house_of_representatives_district_034
wake_43926,99,70,nc_house_of_representatives_district_034
wake_44136,236,296,nc_house_of_representatives_district_034
wake_ABSEN 1-40,594,1135,nc_house_of_representatives_district_034
wake_OSZB 41-80,6,25,nc_house_of_representatives_district_034
wake_TRANS 81-91,0,0,nc_house_of_representatives_district_034
wake_16803,13,55,nc_house_of_representatives_district_034
wake_16072,324,398,nc_house_of_representatives_district_034
wake_OSLOB 1-40,593,2349,nc_house_of_representatives_district_034
wake_OSWA 1-40,17,34,nc_house_of_representatives_district_034
wake_OSWA 81-91,0,0,nc_house_of_representatives_district_034
wake_OSCB 41-80,37,127,nc_house_of_representatives_district_034
wake_OSZB 81-91,0,0,nc_house_of_representatives_district_034
wake_TRANS 41-80,0,0,nc_house_of_representatives_district_034
wake_OSHS 81-91,0,0,nc_house_of_representatives_district_034
wake_OSKD 81-91,0,0,nc_house_of_representatives_district_034
wake_OSCA 1-40,136,318,nc_house_of_representatives_district_034
wake_OSFV 1-40,4,5,nc_house_of_representatives_district_034
wake_14246,230,351,nc_house_of_representatives_district_034
wake_43846,402,532,nc_house_of_representatives_district_034
wake_43848,428,498,nc_house_of_representatives_district_034
wake_OSWD 81-91,0,0,nc_house_of_representatives_district_034
wake_OSWD 1-40,8,17,nc_house_of_representatives_district_034
wake_44013,283,416,nc_house_of_representatives_district_034
wake_OSCH 81-91,0,2,nc_house_of_representatives_district_034
wake_OSAB 1-40,41,75,nc_house_of_representatives_district_034
wake_OSHS 41-80,6,8,nc_house_of_representatives_district_034
wake_PROVI 81-91,5,0,nc_house_of_representatives_district_034
wake_43837,210,468,nc_house_of_representatives_district_034
wake_OSKD 1-40,10,22,nc_house_of_representatives_district_034
wake_OSGR 1-40,354,840,nc_house_of_representatives_district_034
wake_OSFV 41-80,1,5,nc_house_of_representatives_district_034
wake_44045,134,185,nc_house_of_representatives_district_034
wake_43840,275,455,nc_house_of_representatives_district_034
wake_43843,104,301,nc_house_of_representatives_district_034
wake_OSCH 41-80,79,874,nc_house_of_representatives_district_034
wake_OSAB 81-91,0,0,nc_house_of_representatives_district_034
wake_OSHS 1-40,3,12,nc_house_of_representatives_district_034
wake_OSLL 41-80,961,2636,nc_house_of_representatives_district_034
wake_OSOP 1-40,1321,2445,nc_house_of_representatives_district_034
wake_OSFB 1-40,39,80,nc_house_of_representatives_district_034
wake_OSFB 81-91,1,4,nc_house_of_representatives_district_034
wake_OSAV 1-40,40,48,nc_house_of_representatives_district_034
wake_OSNB 81-91,0,0,nc_house_of_representatives_district_034
