prec_id,Jason R. Saine,election
lincoln_OB21,570,nc_house_of_representatives_district_097
lincoln_OS-WEST,1888,nc_house_of_representatives_district_097
lincoln_LS12,206,nc_house_of_representatives_district_097
lincoln_DW28,468,nc_house_of_representatives_district_097
lincoln_HC33,746,nc_house_of_representatives_district_097
lincoln_AS25,555,nc_house_of_representatives_district_097
lincoln_SL24,460,nc_house_of_representatives_district_097
lincoln_OS-EAST,8772,nc_house_of_representatives_district_097
lincoln_NB35,656,nc_house_of_representatives_district_097
lincoln_DN29,555,nc_house_of_representatives_district_097
lincoln_IS20,539,nc_house_of_representatives_district_097
lincoln_OS-LINCOLN,8316,nc_house_of_representatives_district_097
lincoln_LI14,264,nc_house_of_representatives_district_097
lincoln_LN11,223,nc_house_of_representatives_district_097
lincoln_LW31,571,nc_house_of_representatives_district_097
lincoln_BS26,470,nc_house_of_representatives_district_097
lincoln_ST36,648,nc_house_of_representatives_district_097
lincoln_TA37,407,nc_house_of_representatives_district_097
lincoln_BC13,257,nc_house_of_representatives_district_097
lincoln_ABSENTEE,897,nc_house_of_representatives_district_097
lincoln_IS23,571,nc_house_of_representatives_district_097
lincoln_LW18,272,nc_house_of_representatives_district_097
lincoln_DV08,669,nc_house_of_representatives_district_097
lincoln_LB34,646,nc_house_of_representatives_district_097
lincoln_CF19,328,nc_house_of_representatives_district_097
lincoln_WP32,785,nc_house_of_representatives_district_097
lincoln_PC22,553,nc_house_of_representatives_district_097
