prec_id,Jonathan C. Jordan,Sue Counts,election
ashe_17,279,59,nc_house_of_representatives_district_093
ashe_4,103,73,nc_house_of_representatives_district_093
ashe_7,98,47,nc_house_of_representatives_district_093
ashe_12,242,83,nc_house_of_representatives_district_093
ashe_15,256,85,nc_house_of_representatives_district_093
ashe_20,521,253,nc_house_of_representatives_district_093
ashe_10,65,27,nc_house_of_representatives_district_093
ashe_ABSENTEE,284,183,nc_house_of_representatives_district_093
ashe_8,39,37,nc_house_of_representatives_district_093
ashe_16,341,108,nc_house_of_representatives_district_093
ashe_14,297,136,nc_house_of_representatives_district_093
ashe_2,298,150,nc_house_of_representatives_district_093
ashe_11,420,190,nc_house_of_representatives_district_093
ashe_13,284,113,nc_house_of_representatives_district_093
ashe_18,56,16,nc_house_of_representatives_district_093
ashe_9,492,296,nc_house_of_representatives_district_093
ashe_6,149,46,nc_house_of_representatives_district_093
ashe_3,187,36,nc_house_of_representatives_district_093
watauga_1,82,55,nc_house_of_representatives_district_093
watauga_20,117,70,nc_house_of_representatives_district_093
watauga_7,394,318,nc_house_of_representatives_district_093
watauga_4,470,244,nc_house_of_representatives_district_093
watauga_5,82,148,nc_house_of_representatives_district_093
watauga_2,276,91,nc_house_of_representatives_district_093
watauga_OS MEAT CAMP,458,269,nc_house_of_representatives_district_093
watauga_11,369,178,nc_house_of_representatives_district_093
watauga_8,386,194,nc_house_of_representatives_district_093
watauga_14,292,253,nc_house_of_representatives_district_093
watauga_16,45,13,nc_house_of_representatives_district_093
watauga_19,532,282,nc_house_of_representatives_district_093
watauga_OS BLOWING ROCK,565,492,nc_house_of_representatives_district_093
watauga_OS ADMIN,3708,5173,nc_house_of_representatives_district_093
watauga_9,104,68,nc_house_of_representatives_district_093
watauga_6,122,218,nc_house_of_representatives_district_093
watauga_3,328,258,nc_house_of_representatives_district_093
watauga_12,113,174,nc_house_of_representatives_district_093
watauga_15,367,296,nc_house_of_representatives_district_093
watauga_ABSENTEE MAIL,546,615,nc_house_of_representatives_district_093
watauga_17,168,82,nc_house_of_representatives_district_093
watauga_OS ASU,1714,4251,nc_house_of_representatives_district_093
watauga_10,208,85,nc_house_of_representatives_district_093
watauga_OS WESTERN W,688,332,nc_house_of_representatives_district_093
watauga_18,327,116,nc_house_of_representatives_district_093
watauga_13,179,226,nc_house_of_representatives_district_093
watauga_OS DEEP GAP,639,289,nc_house_of_representatives_district_093
