prec_id,Barbara Howe,"Floyd B. McKissick, Jr.",election
durham_37,7,16,nc_state_senate_district_20
durham_35.3,56,120,nc_state_senate_district_20
durham_21,69,256,nc_state_senate_district_20
durham_30-1,70,221,nc_state_senate_district_20
durham_22,80,686,nc_state_senate_district_20
durham_2,39,180,nc_state_senate_district_20
durham_5,12,114,nc_state_senate_district_20
durham_OS-FRONT,86,429,nc_state_senate_district_20
durham_55-11,21,383,nc_state_senate_district_20
durham_44,19,51,nc_state_senate_district_20
durham_42,11,215,nc_state_senate_district_20
durham_29,165,416,nc_state_senate_district_20
durham_48,13,65,nc_state_senate_district_20
durham_OS-ERL,1169,7042,nc_state_senate_district_20
durham_8,49,332,nc_state_senate_district_20
durham_OS-NRL,886,4827,nc_state_senate_district_20
durham_53-1,13,21,nc_state_senate_district_20
durham_54,140,434,nc_state_senate_district_20
durham_14,35,298,nc_state_senate_district_20
durham_16,1,5,nc_state_senate_district_20
durham_19,108,490,nc_state_senate_district_20
durham_OS-BOE,810,9860,nc_state_senate_district_20
durham_OS-DTC,134,979,nc_state_senate_district_20
durham_ABSENTEE,215,1109,nc_state_senate_district_20
durham_39,18,78,nc_state_senate_district_20
durham_38,43,142,nc_state_senate_district_20
durham_1,14,78,nc_state_senate_district_20
durham_20,3,18,nc_state_senate_district_20
durham_34-1,99,291,nc_state_senate_district_20
durham_34-2,77,448,nc_state_senate_district_20
durham_43,14,18,nc_state_senate_district_20
durham_OS-NJBC,175,1927,nc_state_senate_district_20
durham_OS-DTCN,52,180,nc_state_senate_district_20
durham_41,16,277,nc_state_senate_district_20
durham_46,123,368,nc_state_senate_district_20
durham_47,19,280,nc_state_senate_district_20
durham_4,4,13,nc_state_senate_district_20
durham_7,13,62,nc_state_senate_district_20
durham_25,0,0,nc_state_senate_district_20
durham_OS-IVY,242,2721,nc_state_senate_district_20
durham_OS-ENO,340,2097,nc_state_senate_district_20
durham_10,25,233,nc_state_senate_district_20
durham_45,5,23,nc_state_senate_district_20
durham_6,10,45,nc_state_senate_district_20
durham_3,15,59,nc_state_senate_district_20
durham_40,18,131,nc_state_senate_district_20
durham_24,46,171,nc_state_senate_district_20
durham_23,139,555,nc_state_senate_district_20
durham_9,36,179,nc_state_senate_district_20
durham_33,32,127,nc_state_senate_district_20
durham_OS-DUKE,204,1284,nc_state_senate_district_20
durham_OS-SRL,1160,8296,nc_state_senate_district_20
durham_50,14,53,nc_state_senate_district_20
durham_31,40,91,nc_state_senate_district_20
durham_18,47,460,nc_state_senate_district_20
durham_13,23,259,nc_state_senate_district_20
durham_30-2,123,498,nc_state_senate_district_20
durham_OS-NCCU,209,3025,nc_state_senate_district_20
durham_55-49,33,324,nc_state_senate_district_20
durham_17,38,394,nc_state_senate_district_20
durham_15,37,256,nc_state_senate_district_20
durham_12,15,171,nc_state_senate_district_20
durham_36,3,41,nc_state_senate_district_20
durham_OS-GETG,74,957,nc_state_senate_district_20
durham_52,58,458,nc_state_senate_district_20
granville_WILT,1593,1596,nc_state_senate_district_20
granville_EAOX,298,1077,nc_state_senate_district_20
granville_OKHL,233,560,nc_state_senate_district_20
granville_SALM,405,784,nc_state_senate_district_20
granville_BERE,388,636,nc_state_senate_district_20
granville_BTNR,523,1277,nc_state_senate_district_20
granville_CRDM,994,1945,nc_state_senate_district_20
granville_ANTI,144,663,nc_state_senate_district_20
granville_SOOX,151,874,nc_state_senate_district_20
granville_MTEN,1122,1600,nc_state_senate_district_20
granville_SASS,383,809,nc_state_senate_district_20
granville_TYHO,1053,1360,nc_state_senate_district_20
granville_CORI,458,907,nc_state_senate_district_20
granville_CRDL,303,983,nc_state_senate_district_20
granville_WOEL,226,782,nc_state_senate_district_20
