prec_id,Ken Smith,William Brisson,election
bladen_P60,132,363,nc_house_of_representatives_district_022
bladen_P65,127,71,nc_house_of_representatives_district_022
bladen_P15,182,423,nc_house_of_representatives_district_022
bladen_P30,29,196,nc_house_of_representatives_district_022
bladen_P35,53,115,nc_house_of_representatives_district_022
bladen_ONESTOP,983,2930,nc_house_of_representatives_district_022
bladen_P201,5,13,nc_house_of_representatives_district_022
bladen_P70,44,103,nc_house_of_representatives_district_022
bladen_P501,128,431,nc_house_of_representatives_district_022
bladen_P25,115,243,nc_house_of_representatives_district_022
bladen_P10,75,156,nc_house_of_representatives_district_022
bladen_P80,149,162,nc_house_of_representatives_district_022
bladen_P40,158,242,nc_house_of_representatives_district_022
bladen_P45,76,100,nc_house_of_representatives_district_022
bladen_P75,70,255,nc_house_of_representatives_district_022
bladen_P502,79,206,nc_house_of_representatives_district_022
bladen_P55,86,137,nc_house_of_representatives_district_022
johnston_PR38,504,109,nc_house_of_representatives_district_022
sampson_MING,683,203,nc_house_of_representatives_district_022
sampson_GARL,135,180,nc_house_of_representatives_district_022
sampson_PLVW,800,145,nc_house_of_representatives_district_022
sampson_KEEN,268,120,nc_house_of_representatives_district_022
sampson_KFRK,304,220,nc_house_of_representatives_district_022
sampson_ROSE,207,88,nc_house_of_representatives_district_022
sampson_CLWE,310,122,nc_house_of_representatives_district_022
sampson_NGRV,283,141,nc_house_of_representatives_district_022
sampson_GIDD,102,123,nc_house_of_representatives_district_022
sampson_SBRG,235,119,nc_house_of_representatives_district_022
sampson_ONESTOP,2331,2200,nc_house_of_representatives_district_022
sampson_INGO,117,107,nc_house_of_representatives_district_022
sampson_TURK,16,3,nc_house_of_representatives_district_022
sampson_CLNE,273,149,nc_house_of_representatives_district_022
sampson_LAKE,189,454,nc_house_of_representatives_district_022
sampson_ROWA,269,193,nc_house_of_representatives_district_022
sampson_HERR,282,45,nc_house_of_representatives_district_022
sampson_CLSW,167,117,nc_house_of_representatives_district_022
sampson_WBRK,323,125,nc_house_of_representatives_district_022
sampson_CLCE,3,1,nc_house_of_representatives_district_022
sampson_CLEM,371,143,nc_house_of_representatives_district_022
sampson_AUTR,328,101,nc_house_of_representatives_district_022
sampson_CLEA,76,47,nc_house_of_representatives_district_022
