prec_id,John Autry,election
mecklenburg_217,379,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE 21-40,12,nc_house_of_representatives_district_100
mecklenburg_94,812,nc_house_of_representatives_district_100
mecklenburg_115,819,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE 41-60,5,nc_house_of_representatives_district_100
mecklenburg_5,831,nc_house_of_representatives_district_100
mecklenburg_63,1202,nc_house_of_representatives_district_100
mecklenburg_34,1257,nc_house_of_representatives_district_100
mecklenburg_33,1052,nc_house_of_representatives_district_100
mecklenburg_15,1823,nc_house_of_representatives_district_100
mecklenburg_17,241,nc_house_of_representatives_district_100
mecklenburg_6,879,nc_house_of_representatives_district_100
mecklenburg_62,1124,nc_house_of_representatives_district_100
mecklenburg_102,1347,nc_house_of_representatives_district_100
mecklenburg_130,836,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE 1-20,276,nc_house_of_representatives_district_100
mecklenburg_125,693,nc_house_of_representatives_district_100
mecklenburg_2,269,nc_house_of_representatives_district_100
mecklenburg_29,1047,nc_house_of_representatives_district_100
mecklenburg_109,1415,nc_house_of_representatives_district_100
mecklenburg_44,922,nc_house_of_representatives_district_100
mecklenburg_46,1519,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE 81-96,10,nc_house_of_representatives_district_100
mecklenburg_235,457,nc_house_of_representatives_district_100
mecklenburg_85,357,nc_house_of_representatives_district_100
mecklenburg_99,1162,nc_house_of_representatives_district_100
mecklenburg_30,1224,nc_house_of_representatives_district_100
mecklenburg_117,1145,nc_house_of_representatives_district_100
mecklenburg_61,610,nc_house_of_representatives_district_100
mecklenburg_45,916,nc_house_of_representatives_district_100
mecklenburg_64,83,nc_house_of_representatives_district_100
