prec_id,Bill Brawley,Rochelle Rivas,election
mecklenburg_217,303,383,nc_house_of_representatives_district_103
mecklenburg_220,1379,795,nc_house_of_representatives_district_103
mecklenburg_CURBSIDE 21-40,16,27,nc_house_of_representatives_district_103
mecklenburg_94,108,97,nc_house_of_representatives_district_103
mecklenburg_91,978,694,nc_house_of_representatives_district_103
mecklenburg_221,2040,957,nc_house_of_representatives_district_103
mecklenburg_115,16,44,nc_house_of_representatives_district_103
mecklenburg_234,1007,1154,nc_house_of_representatives_district_103
mecklenburg_236,2001,927,nc_house_of_representatives_district_103
mecklenburg_CURBSIDE 41-60,79,41,nc_house_of_representatives_district_103
mecklenburg_83,442,761,nc_house_of_representatives_district_103
mecklenburg_215,1303,1010,nc_house_of_representatives_district_103
mecklenburg_203,308,515,nc_house_of_representatives_district_103
mecklenburg_201,1026,1484,nc_house_of_representatives_district_103
mecklenburg_CURBSIDE 61-80,14,36,nc_house_of_representatives_district_103
mecklenburg_102,432,733,nc_house_of_representatives_district_103
mecklenburg_136,904,589,nc_house_of_representatives_district_103
mecklenburg_233,1628,915,nc_house_of_representatives_district_103
mecklenburg_218,1202,631,nc_house_of_representatives_district_103
mecklenburg_219,1021,630,nc_house_of_representatives_district_103
mecklenburg_CURBSIDE 81-96,37,26,nc_house_of_representatives_district_103
mecklenburg_235,861,812,nc_house_of_representatives_district_103
mecklenburg_116,0,3,nc_house_of_representatives_district_103
mecklenburg_216,1563,1503,nc_house_of_representatives_district_103
mecklenburg_205,632,606,nc_house_of_representatives_district_103
mecklenburg_227,636,535,nc_house_of_representatives_district_103
