prec_id,Ben Edwards,David Rogers,election
burke_65,161,511,nc_house_of_representatives_district_112
burke_0029-A,124,597,nc_house_of_representatives_district_112
burke_53,346,970,nc_house_of_representatives_district_112
burke_ABSENTEE,0,0,nc_house_of_representatives_district_112
burke_64,145,357,nc_house_of_representatives_district_112
burke_0029-B,166,491,nc_house_of_representatives_district_112
rutherford_13,1097,1385,nc_house_of_representatives_district_112
rutherford_05A,415,1207,nc_house_of_representatives_district_112
rutherford_18,429,973,nc_house_of_representatives_district_112
rutherford_OS-BOE PAPER,0,0,nc_house_of_representatives_district_112
rutherford_CURBSIDE,0,0,nc_house_of_representatives_district_112
rutherford_30,851,1202,nc_house_of_representatives_district_112
rutherford_11,815,2720,nc_house_of_representatives_district_112
rutherford_29,371,858,nc_house_of_representatives_district_112
rutherford_OS-ELLENBORO PAPER,0,0,nc_house_of_representatives_district_112
rutherford_06A,557,984,nc_house_of_representatives_district_112
rutherford_34,226,729,nc_house_of_representatives_district_112
rutherford_16A,401,1341,nc_house_of_representatives_district_112
rutherford_OS-ANNEX PAPER,0,0,nc_house_of_representatives_district_112
rutherford_03A,261,1164,nc_house_of_representatives_district_112
rutherford_09A,458,1781,nc_house_of_representatives_district_112
rutherford_04A,377,1076,nc_house_of_representatives_district_112
rutherford_28,312,729,nc_house_of_representatives_district_112
rutherford_27,869,1443,nc_house_of_representatives_district_112
rutherford_10A,168,645,nc_house_of_representatives_district_112
rutherford_ABSENTEE,0,0,nc_house_of_representatives_district_112
rutherford_19,290,896,nc_house_of_representatives_district_112
rutherford_14,549,879,nc_house_of_representatives_district_112
