prec_id,Cecil Brockman,election
guilford_G56,974,nc_house_of_representatives_district_060
guilford_G59,816,nc_house_of_representatives_district_060
guilford_G64,1463,nc_house_of_representatives_district_060
guilford_H05,1198,nc_house_of_representatives_district_060
guilford_H09,919,nc_house_of_representatives_district_060
guilford_G49,681,nc_house_of_representatives_district_060
guilford_G61,1137,nc_house_of_representatives_district_060
guilford_G48,886,nc_house_of_representatives_district_060
guilford_G50,1058,nc_house_of_representatives_district_060
guilford_G43,800,nc_house_of_representatives_district_060
guilford_SUM1,839,nc_house_of_representatives_district_060
guilford_H04,427,nc_house_of_representatives_district_060
guilford_FR1,489,nc_house_of_representatives_district_060
guilford_H11,1004,nc_house_of_representatives_district_060
guilford_H18,893,nc_house_of_representatives_district_060
guilford_H10,1270,nc_house_of_representatives_district_060
guilford_H06,836,nc_house_of_representatives_district_060
guilford_H17,336,nc_house_of_representatives_district_060
guilford_H19A,714,nc_house_of_representatives_district_060
guilford_G57,1170,nc_house_of_representatives_district_060
guilford_ABS/PROV/CURB 1,9,nc_house_of_representatives_district_060
guilford_G55,1598,nc_house_of_representatives_district_060
guilford_G58,1279,nc_house_of_representatives_district_060
guilford_G63,1025,nc_house_of_representatives_district_060
guilford_G60,994,nc_house_of_representatives_district_060
guilford_H07,834,nc_house_of_representatives_district_060
guilford_H12,384,nc_house_of_representatives_district_060
guilford_ABS/PROV/CURB 3,101,nc_house_of_representatives_district_060
guilford_JAM4,126,nc_house_of_representatives_district_060
guilford_H08,573,nc_house_of_representatives_district_060
guilford_H03,705,nc_house_of_representatives_district_060
guilford_G36,263,nc_house_of_representatives_district_060
guilford_G37,1083,nc_house_of_representatives_district_060
guilford_ABS/PROV/CURB 2,151,nc_house_of_representatives_district_060
