prec_id,John M. Blust,Sal Leone,election
guilford_FR2,733,499,nc_house_of_representatives_district_062
guilford_G43,264,264,nc_house_of_representatives_district_062
guilford_G42A,658,449,nc_house_of_representatives_district_062
guilford_G38,597,605,nc_house_of_representatives_district_062
guilford_FR1,550,600,nc_house_of_representatives_district_062
guilford_FR5A,543,374,nc_house_of_representatives_district_062
guilford_FR5B,455,224,nc_house_of_representatives_district_062
guilford_CURBSIDE,47,38,nc_house_of_representatives_district_062
guilford_G41A,367,309,nc_house_of_representatives_district_062
guilford_G66,589,516,nc_house_of_representatives_district_062
guilford_G41B,562,369,nc_house_of_representatives_district_062
guilford_G64,17,12,nc_house_of_representatives_district_062
guilford_JAM2,89,120,nc_house_of_representatives_district_062
guilford_FR4,539,260,nc_house_of_representatives_district_062
guilford_G65,476,549,nc_house_of_representatives_district_062
guilford_G39,360,372,nc_house_of_representatives_district_062
guilford_G42B,188,155,nc_house_of_representatives_district_062
guilford_H29A,320,307,nc_house_of_representatives_district_062
guilford_G37,167,170,nc_house_of_representatives_district_062
guilford_G62,277,342,nc_house_of_representatives_district_062
guilford_H29B,388,509,nc_house_of_representatives_district_062
guilford_FR3,483,322,nc_house_of_representatives_district_062
guilford_G40A2,332,307,nc_house_of_representatives_district_062
guilford_NDRI,937,174,nc_house_of_representatives_district_062
guilford_OR1,1383,456,nc_house_of_representatives_district_062
guilford_SF2,684,200,nc_house_of_representatives_district_062
guilford_CG1,45,66,nc_house_of_representatives_district_062
guilford_G40B,481,276,nc_house_of_representatives_district_062
guilford_G40A1,472,396,nc_house_of_representatives_district_062
guilford_SF3,911,518,nc_house_of_representatives_district_062
guilford_SF4,1350,597,nc_house_of_representatives_district_062
guilford_STOK,1393,427,nc_house_of_representatives_district_062
guilford_SF1,1231,402,nc_house_of_representatives_district_062
guilford_OR2,953,320,nc_house_of_representatives_district_062
