prec_id,John Szoka,election
cumberland_ABSENTEE 31-57,480,nc_house_of_representatives_district_045
cumberland_G2D,1050,nc_house_of_representatives_district_045
cumberland_G2C-2,11,nc_house_of_representatives_district_045
cumberland_G11B,965,nc_house_of_representatives_district_045
cumberland_G11A-2,277,nc_house_of_representatives_district_045
cumberland_LI65,1614,nc_house_of_representatives_district_045
cumberland_G10B,1128,nc_house_of_representatives_district_045
cumberland_G10C,1697,nc_house_of_representatives_district_045
cumberland_G7A,687,nc_house_of_representatives_district_045
cumberland_G2E-1,119,nc_house_of_representatives_district_045
cumberland_ABSENTEE 1-30,232,nc_house_of_representatives_district_045
cumberland_G7B,656,nc_house_of_representatives_district_045
cumberland_G10A,1812,nc_house_of_representatives_district_045
cumberland_G11A-1,154,nc_house_of_representatives_district_045
cumberland_G9B-2,1659,nc_house_of_representatives_district_045
cumberland_SH77,1194,nc_house_of_representatives_district_045
cumberland_EO61-1,548,nc_house_of_representatives_district_045
cumberland_G1B,95,nc_house_of_representatives_district_045
cumberland_G9A,666,nc_house_of_representatives_district_045
cumberland_G6A,2320,nc_house_of_representatives_district_045
cumberland_G6C,775,nc_house_of_representatives_district_045
cumberland_AL51,2376,nc_house_of_representatives_district_045
cumberland_G3C,34,nc_house_of_representatives_district_045
cumberland_G6B,604,nc_house_of_representatives_district_045
cumberland_EO61-2,192,nc_house_of_representatives_district_045
cumberland_G9B-1,1662,nc_house_of_representatives_district_045
