prec_id,Cristina Victoria Vazquez,Julia Craven Howard,election
davie_1,129,374,nc_house_of_representatives_district_079
davie_14,257,710,nc_house_of_representatives_district_079
davie_4,156,489,nc_house_of_representatives_district_079
davie_7,154,593,nc_house_of_representatives_district_079
davie_12,389,1280,nc_house_of_representatives_district_079
davie_5,249,862,nc_house_of_representatives_district_079
davie_2,110,352,nc_house_of_representatives_district_079
davie_ONESTOP,42,132,nc_house_of_representatives_district_079
davie_8,276,514,nc_house_of_representatives_district_079
davie_11,131,617,nc_house_of_representatives_district_079
davie_3,214,899,nc_house_of_representatives_district_079
davie_6,175,534,nc_house_of_representatives_district_079
davie_9,286,652,nc_house_of_representatives_district_079
davie_13,377,1205,nc_house_of_representatives_district_079
davie_10,262,857,nc_house_of_representatives_district_079
forsyth_71,543,1170,nc_house_of_representatives_district_079
forsyth_807,409,607,nc_house_of_representatives_district_079
forsyth_133,443,1058,nc_house_of_representatives_district_079
forsyth_72,733,1500,nc_house_of_representatives_district_079
forsyth_73,362,1163,nc_house_of_representatives_district_079
forsyth_75,84,261,nc_house_of_representatives_district_079
forsyth_806,174,211,nc_house_of_representatives_district_079
forsyth_74,586,806,nc_house_of_representatives_district_079
forsyth_123,471,725,nc_house_of_representatives_district_079
forsyth_808,437,436,nc_house_of_representatives_district_079
forsyth_706,302,240,nc_house_of_representatives_district_079
