prec_id,Justin P. Burr,Nalin Mehta,election
montgomery_CAN,322,262,nc_house_of_representatives_district_067
montgomery_OPH,92,29,nc_house_of_representatives_district_067
montgomery_LIT,155,43,nc_house_of_representatives_district_067
montgomery_T1,312,255,nc_house_of_representatives_district_067
montgomery_WAD,83,127,nc_house_of_representatives_district_067
montgomery_STA,489,117,nc_house_of_representatives_district_067
montgomery_MTG,6,67,nc_house_of_representatives_district_067
montgomery_BIS,281,248,nc_house_of_representatives_district_067
montgomery_ONESTOP,962,633,nc_house_of_representatives_district_067
montgomery_PEE,284,98,nc_house_of_representatives_district_067
montgomery_T2,257,170,nc_house_of_representatives_district_067
montgomery_UWH,339,96,nc_house_of_representatives_district_067
montgomery_ELD,333,118,nc_house_of_representatives_district_067
stanly_15,192,236,nc_house_of_representatives_district_067
stanly_18,217,165,nc_house_of_representatives_district_067
stanly_20,487,183,nc_house_of_representatives_district_067
stanly_3,239,331,nc_house_of_representatives_district_067
stanly_22,439,229,nc_house_of_representatives_district_067
stanly_23,615,204,nc_house_of_representatives_district_067
stanly_25,698,164,nc_house_of_representatives_district_067
stanly_11,204,184,nc_house_of_representatives_district_067
stanly_16,147,165,nc_house_of_representatives_district_067
stanly_14,235,120,nc_house_of_representatives_district_067
stanly_26,331,226,nc_house_of_representatives_district_067
stanly_27,403,314,nc_house_of_representatives_district_067
stanly_24,543,116,nc_house_of_representatives_district_067
stanly_7,257,273,nc_house_of_representatives_district_067
stanly_13,270,169,nc_house_of_representatives_district_067
stanly_21,295,136,nc_house_of_representatives_district_067
stanly_28,160,199,nc_house_of_representatives_district_067
stanly_2,124,91,nc_house_of_representatives_district_067
stanly_8,26,379,nc_house_of_representatives_district_067
stanly_ONESTOP,3956,3365,nc_house_of_representatives_district_067
stanly_10,159,177,nc_house_of_representatives_district_067
stanly_12,141,84,nc_house_of_representatives_district_067
stanly_17,312,232,nc_house_of_representatives_district_067
stanly_19,372,161,nc_house_of_representatives_district_067
