prec_id,Linda P. Johnson,election
cabarrus_ONESTOP,20,nc_house_of_representatives_district_083
cabarrus_43928,606,nc_house_of_representatives_district_083
cabarrus_36800,1588,nc_house_of_representatives_district_083
cabarrus_44168,647,nc_house_of_representatives_district_083
cabarrus_44169,634,nc_house_of_representatives_district_083
cabarrus_43926,355,nc_house_of_representatives_district_083
cabarrus_43929,472,nc_house_of_representatives_district_083
cabarrus_43927,411,nc_house_of_representatives_district_083
cabarrus_43866,1369,nc_house_of_representatives_district_083
cabarrus_43925,393,nc_house_of_representatives_district_083
cabarrus_43867,768,nc_house_of_representatives_district_083
cabarrus_43832,776,nc_house_of_representatives_district_083
cabarrus_43922,732,nc_house_of_representatives_district_083
cabarrus_44176,406,nc_house_of_representatives_district_083
cabarrus_43923,576,nc_house_of_representatives_district_083
cabarrus_43930,921,nc_house_of_representatives_district_083
cabarrus_44170,802,nc_house_of_representatives_district_083
cabarrus_43862,772,nc_house_of_representatives_district_083
cabarrus_44136,1037,nc_house_of_representatives_district_083
cabarrus_44137,968,nc_house_of_representatives_district_083
cabarrus_43931,1080,nc_house_of_representatives_district_083
