prec_id,Elmer Floyd,election
cumberland_ABSENTEE 31-57,222,nc_house_of_representatives_district_043
cumberland_G2D,713,nc_house_of_representatives_district_043
cumberland_G2B,2052,nc_house_of_representatives_district_043
cumberland_CC21,1566,nc_house_of_representatives_district_043
cumberland_G2C-2,1304,nc_house_of_representatives_district_043
cumberland_G11B,8,nc_house_of_representatives_district_043
cumberland_CC04,126,nc_house_of_representatives_district_043
cumberland_G2C-1,1180,nc_house_of_representatives_district_043
cumberland_LI65,11,nc_house_of_representatives_district_043
cumberland_CC13,1225,nc_house_of_representatives_district_043
cumberland_CC15,8,nc_house_of_representatives_district_043
cumberland_G2A,2182,nc_house_of_representatives_district_043
cumberland_CC14,33,nc_house_of_representatives_district_043
cumberland_CC06,79,nc_house_of_representatives_district_043
cumberland_G2E-1,878,nc_house_of_representatives_district_043
cumberland_CC08,127,nc_house_of_representatives_district_043
cumberland_ABSENTEE 1-30,363,nc_house_of_representatives_district_043
cumberland_CC17,1318,nc_house_of_representatives_district_043
cumberland_G2E-2,1241,nc_house_of_representatives_district_043
cumberland_CC19,423,nc_house_of_representatives_district_043
cumberland_G3B,44,nc_house_of_representatives_district_043
cumberland_G9B-2,230,nc_house_of_representatives_district_043
cumberland_CC16,1143,nc_house_of_representatives_district_043
cumberland_EO61-1,807,nc_house_of_representatives_district_043
cumberland_G1B,1639,nc_house_of_representatives_district_043
cumberland_G9A,693,nc_house_of_representatives_district_043
cumberland_CC05,1010,nc_house_of_representatives_district_043
cumberland_G6C,209,nc_house_of_representatives_district_043
cumberland_G3C,169,nc_house_of_representatives_district_043
cumberland_G1A,1019,nc_house_of_representatives_district_043
cumberland_CC01,1141,nc_house_of_representatives_district_043
cumberland_EO61-2,761,nc_house_of_representatives_district_043
cumberland_G3A-1,1685,nc_house_of_representatives_district_043
