prec_id,Chris Millis,Steve Unger,election
onslow_ONESTOP,1509,460,nc_house_of_representatives_district_016
onslow_NM13,298,57,nc_house_of_representatives_district_016
onslow_CL10,423,106,nc_house_of_representatives_district_016
onslow_HN14,387,123,nc_house_of_representatives_district_016
onslow_RL09,645,271,nc_house_of_representatives_district_016
onslow_GB12,463,151,nc_house_of_representatives_district_016
pender_RP20,364,336,nc_house_of_representatives_district_016
pender_CS04,222,206,nc_house_of_representatives_district_016
pender_LT18,1080,356,nc_house_of_representatives_district_016
pender_MH07,119,34,nc_house_of_representatives_district_016
pender_CURBSIDE,37,61,nc_house_of_representatives_district_016
pender_LC09,428,239,nc_house_of_representatives_district_016
pender_SB02,716,591,nc_house_of_representatives_district_016
pender_UT14,1194,431,nc_house_of_representatives_district_016
pender_PL10,156,45,nc_house_of_representatives_district_016
pender_GR06,273,313,nc_house_of_representatives_district_016
pender_NB01,430,323,nc_house_of_representatives_district_016
pender_LU16,319,140,nc_house_of_representatives_district_016
pender_SC13,920,401,nc_house_of_representatives_district_016
pender_SP15,805,380,nc_house_of_representatives_district_016
pender_UH08,88,293,nc_house_of_representatives_district_016
pender_CL05,234,415,nc_house_of_representatives_district_016
pender_CF11,724,298,nc_house_of_representatives_district_016
pender_MT19,998,433,nc_house_of_representatives_district_016
pender_UU17,225,208,nc_house_of_representatives_district_016
pender_CT03,27,70,nc_house_of_representatives_district_016
pender_SH12,655,198,nc_house_of_representatives_district_016
